"Species_names","spore_length","spore_width","SporeArea","SporeName","Phylum","Source"
"Acaulospora_alpina",75,75,4417.86466911065,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_baetica",82.5,78.5,5086.43485570272,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_bireticulata",152.5,152.5,18265.4160375119,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_brasiliensis",78.5,78.5,4839.81983239593,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_capsicula",298,298,69746.498502347,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_cavernata",140,140,15393.80400259,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_colliculosa",84.485,84.485,5605.948428569,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_colombiana",107.5,107.5,9076.25752576176,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_colombiana",107.5,107.5,9076.25752576176,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_colossica",279,279,61136.1784370208,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_delicata",102.5,95,7647.81461608265,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_denticulata",149.3,149.3,17506.9099072292,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_dilatata",106,106,8824.73376393373,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_elegans",212.5,212.5,35465.635815916,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_entreriana",290,290,66051.9855417254,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_excavata",157.5,132.5,16390.2779224005,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_foveata",282.5,247.5,54914.0578370453,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_gedanensis",65,65,3318.30724035422,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_ignota",72,72,4071.50407905237,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_kentinensis",152.5,112.5,13474.4872407875,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_koskei",183,183,26302.1990940171,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_lacunosa",131,131,13478.2178820636,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_laevis",319.5,209.5,52570.822416549,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_longula",82.5,82.5,5345.61624962388,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_mellea",100,100,7853.98163397448,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_minuta",202.5,202.5,32206.2334378166,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_morrowiae",85.5,85.5,5741.4569239762,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_myriocarpa",61,61,2922.4665660019,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_nicolsonii",148.5,148.5,17319.7966487814,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_nivalis",84,84,5541.76944093239,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_paulinae",72,72,4071.50407905237,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_polonica",94,94,6939.77817177985,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_punctata",117,117,10751.3154587477,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_punctata",117,117,10751.3154587477,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_pustulata",55,53,2289.43564630356,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_rehmii",141,141,15614.5008865047,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_rugosa",92,92,6647.610054996,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_scrobiculata",170,160,21362.8300444106,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_sieverdingii",70,70,3848.4510006475,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_spinosa",217.5,199,33993.9960072501,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_spinosissima",153.5,148,17842.6754760632,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_splendida",220,220,38013.2711084365,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_sporocarpia",180,162.5,22972.8962793754,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_taiwania",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_thomii",185,185,26880.2521422777,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_tortuosa",72.5,70.5,4014.36636266521,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_tuberculata",297.5,291,67993.8825007256,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_undulata",70,70,3848.4510006475,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_viridis",172.5,166.5,22557.617000479,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Acaulospora_walkeri",170,170,22698.0069221863,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_appendicula",180,180,25446.9004940773,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_appendicula",250,250,49087.3852123405,"Azygospores","Glomeromycota","Aguilar_etal_2018"
