"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores oblong elliptical, basal part sometimes more obtuse than the apical part, hyaline or pale yellow, transversely 3-septate, but one of the central cells may become longitudinally septate, somewhat constricted at the median septum, 13-15 x 5-6 µm.Conidial","Elsinoë phaseoli_9321","Ascospores","13-15 x 5-6","13-15","5-6",NA,14,5.5
"Ascospores oblong elliptical, hyaline or pale yellow, 3-septate, constricted at the septa, 18-21 x 6-8 µm,","Elsinoë veneta_9347","Ascospores","18-21 x 6-8","18-21","6-8",NA,19.5,7
"Ascospores 1-3 seriate, one-celled, ellipsoidal or rhomboidal, straight or slightly curved, 12-18 x 7-9 µm,","Guignardia aesculi_12236","Ascospores","12-18 x 7-9","12-18","7-9",NA,15,8
"Ascospores hyaline, straight or slightly curved, subellipsoid, wider in the mid region, 12-18 x 7-9 µm.","Guignardia aesculi_12236","Ascospores","12-18 x 7-9","12-18","7-9",NA,15,8
"Ascospores irregularly biseriate, hyaline, cylindrical, 18-23 x 3-5 µm,","Mycosphaerella brassicicola_16885","Ascospores","18-23 x 3-5","18-23","3-5",NA,20.5,4
"Ascospores irregularly biseriate, hyaline, ellipsoid, guttulate, constricted at the septum, rounded at the ends, 12-18 x 4-8 µm.","Mycosphaerella pinodes_16949","Ascospores","12-18 x 4-8","12-18","4-8",NA,15,6
"ascospores simple, ovoid, 26-43 x 15-26 µm.","Lecanora tartarea var. frigida_398442","ascospores","26-43 x 15-26","26-43","15-26",NA,34.5,20.5
"Ascospores arranged biseriately, 10,5-16 x 6,5-8,5 µm,","Phyllachora ramosii_145243","Ascospores","10,5-16 x 6,5-8,5","10.5-16","6.5-8.5",NA,13.25,7.5
"ascospores fusiform, tapering towards both ends, 1-septate, slightly constricted at septum, hyaline, smooth-walled, irregularly biseriate, 13.5-16.5 x 4.5-5.5 µm.
","Dothidella periclymeni_146626","ascospores","13.5-16.5 x 4.5-5.5","13.5-16.5","4.5-5.5",NA,15,5
"Ascospores arranged bi-to tri-seriately, unicellular, cylindric, hyaline, guttulate, 26-36 x 7-10 µm,","Catacauma alpiniae_143442","Ascospores","26-36 x 7-10","26-36","7-10",NA,31,8.5
"Ascospores arranged biseriately (rarely obliquely uniseriately), (14-)16-23 x 8-11 µm,","Catacauma dalbergiicola_153586","Ascospores",")(14-)16-23 x 8-11","16-23","8-11",NA,19.5,9.5
"Ascospores pale green, becoming olivaceous, clavate, 13-18 x 4.5-7.5 µm,","Dibotryon morbosum_8298","Ascospores","13-18 x 4.5-7.5","13-18","4.5-7.5",NA,15.5,6
"Ascospores clavate, apex obtuse, taperedtowards the base, 1-septate near the base, smooth-walled, olivaceous, 14-18 µm","Dibotryon morbosum_8298","Ascospores","14-18","14-18",NA,NA,16,16
"Ascospores hyaline, ovoid, 20-30 x 12-15 µm.","Desetangsia mors-uvae_374514","Ascospores","20-30 x 12-15","20-30","12-15",NA,25,13.5
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Plectosphaera astragali_203124","Ascospores","15,5-19 x 8,5-11","15.5-19","8.5-11",NA,17.25,9.75
"ascospores with either a firm-walled hyaline basal cell, the so-called ""primary appendage"" or with long slender mucilaginous structures, the ""secondary"", or with both. 
Ref Winter, G., 1887, Rabenhorst's Kryptogamen-Flora, I (2): 173-174. => Podospora anerina (Rabh.): Asci cylindroidei, longissime stipitati, 2-4-spori, 110-125 µm","Podospora anserina_22233","ascospores","110-125","110-125",NA,NA,117.5,117.5
"Ascospores cylindrical, ends rounded, slightly sigmoid, hyaline, aseptate; becoming differentiated into a swollen head and pedicel and transversely uniseptate; 70-90(-95) x 6-10 µm,","Podospora californica_143320","Ascospores","; 70-90(-95) x 6-10","70-90","6-10",NA,80,8
"ascospores ellipsoid, 19-24 x 11-16 µm,","Podospora setosa_22317","ascospores","19-24 x 11-16","19-24","11-16",NA,21.5,13.5
"Ascospores dark brown, ovate, 16-19 x 11-13 µm,","Podospora setosa_22317","Ascospores","16-19 x 11-13","16-19","11-13",NA,17.5,12
"Ascospores olivaceous to brown, 18-21.5 x 11-13 µm,","Podospora setosa_22317","Ascospores","18-21.5 x 11-13","18-21.5","11-13",NA,19.75,12
"Ascospores becoming differentiated into a swollen head and pedicel, head 15-19 x 8-10 µm,","Podospora natalitia_167667","Ascospores","15-19 x 8-10","15-19","8-10",NA,17,9
"Ascospores monostichous, ovoid, 10-12 x 4-5 µm,","Systremma ulmi_194293","Ascospores","10-12 x 4-5","10-12","4-5",NA,11,4.5
"Ascospores hyaline, rather irregular in shape, generally fusoid or broadly fusoid, broadest above the midpoint, one side often flattened or curved, pointed at the ends, usually aseptate, rarely with one median septum, biguttulate, 7-12 x 3-4,5 µm,","Stromatinia granigena_145620","Ascospores","7-12 x 3-4,5","7-12","3-4.5",NA,9.5,3.75
"Ascospores yellowish to olivaceous, ellipsoid, 11-15 x 4-6 µm,","Euryachora betulina_161699","Ascospores","11-15 x 4-6","11-15","4-6",NA,13,5
"Ascospores distichous in the ascus, elliptic-cylindric, septate towards the upper end of the spore, not or very slightly constricted at the septum, initially hyaline becoming yellowish to olivaceous when mature, 10-15 x 4-6 µm.","Euryachora betulina_161699","Ascospores","10-15 x 4-6","10-15","4-6",NA,12.5,5
"Ascospores broadly lenticular, variable in size and appearance, 2.8-5.2 x 2.0-3.6 µm,","Eupenicillium crustaceum_9836","Ascospores","2.8-5.2 x 2.0-3.6","2.8-5.2","2.0-3.6",NA,4,2.8
"Ascospores colourless, aseptate, fusiform or ellipsoid, 7,5-10 x 2,5-4 µm.","Ramularia obtusispora_166153","Ascospores","7,5-10 x 2,5-4","7.5-10","2.5-4",NA,8.75,3.25
"Ascospores usually arranged biseriately, (7-)8-11,5(-13,5) x 5-7 (-9) µm,","Phyllachora machaeriicola_141445","Ascospores","(7-)8-11,5(-13,5) x 5-7 (-9)","8-11.5","5-7",NA,9.75,6
"Ascospores biseriate in the ascus, hyaline, elliptic-cylindric or slightly clavate, 1-septate rather below themiddle, slightly constricted at the septum, 16-26 x 4,5-7 µm.
Hosts:","Dothidella ribesia_34405","Ascospores","16-26 x 4,5-7","16-26","4.5-7",NA,21,5.75
"ascospores intertwined in the ascus. Ascospores thread-like, appearing to be the full length of the ascus 0.5-0.7 wide, aseptate (?), remaining entire, not often discharged. Sclerotia conspicuous, numerous on host, globose, 30-50 µm","Barya agaricicola_117007","ascospores","30-50","30-50",NA,NA,40,40
"Ascospores thread-like, appearing to be the full length of the ascus 0.5-0.7 wide, aseptate (?), remaining entire, not often discharged. Sclerotia conspicuous, numerous on host, globose, 30-50 µm","Barya agaricicola_117007","Ascospores","30-50","30-50",NA,NA,40,40
