Species,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd
Abortiporus biennis,12,472.6666666666667,16.898489627324874,1057.4833333333333,458.33906368651043,74.97805630313077,27152.325,0.971500010291735,453.08966267643143,2.247405565036477,225.56399045033493,87.82774557668998,20.22560213422518,4442.091400787983,0.15823960913366397
Absidia anomala,3,32.666666666666664,13.671666687064667,954.4666666666667,254.31906133657264,39.296510431606265,24401.666666666668,1.0039999961853032,8.082903768654761,0.0845618208258269,2.4110855093366594,3.136223398053597,0.5008995192141722,147.57944753024984,0.0052914975757610665
Absidia glauca,260,240.80384615384617,7.371956725275842,688.8479807692307,745.1438633664151,36.901763547647505,20929.255480769232,0.4591609868450917,334.287492135553,3.732656191804074,266.7252749210052,209.1996606091853,16.448376837340426,2243.1873814827054,0.23096705602953682
Absidia psychrophilia,5,824,5.464329373902448,792.0523809523808,396.6394978940492,43.40423865137078,21618.98380952382,0.5045619030509674,521.6469112340262,0.7884778245519929,392.4051015453557,62.04545196830284,20.251522656648557,4009.6086927639785,0.03526441221696886
Abundisporus fuscopurpureus,21,689.3809523809524,22.885694463227786,2766.4476190476194,112.42020672186142,42.366628451208506,20230.242063492056,2.1142539770830244,593.8453903324059,3.3912793699595074,555.8881663429781,110.37072581972379,23.010624475705107,2103.169473758721,0.5103831032736189
Abundisporus pubertatis,22,705.1363636363636,7.54321971665786,1165.9136363636364,1060.3141072104372,92.25674531917194,20179.706818181818,0.3320000005039309,229.55221326469194,5.650134142615898,578.221021381184,346.96847015019455,16.979344970862265,1304.1989611667543,0.46956867348147074
Acanthobasidium penicillatum,1,77,26.3250000476837,2622.25,69.995735320361,62.2125120105559,22562.25,2.6049998998642,NA,NA,NA,NA,NA,NA,NA
Acanthophysellum lividocoeruleum,3,744.6666666666666,11.2829861122701,1180.4833333333333,573.7227725581515,41.120626401534636,21719.5,1.0580555217133645,534.9339523093794,13.049320957040623,1118.7029099959173,432.29945128952755,18.924757111284986,833.5503883989257,1.3288680837894686
Acaulium acremonium,3,697.3333333333334,10.567013890834314,735.0166666666667,832.0882040617606,66.58326368984928,21366.3,0.33466666638851167,1108.4522241997322,7.450306175770793,149.7326979431458,243.52559755819345,32.84616167425079,751.8269548240468,0.0954218690379866
Acaulospora alpina,4,2023,3.0250000061312052,852.375,565.5658898759838,32.13989676190605,21197.575,0.2800416705509025,129.12268068262318,0.8167641228065634,83.91203231162183,9.969303780000265,0.8642936888668914,410.91620789088273,0.01644878536731034
Acaulospora brasiliensis,53,1757.0943396226414,4.695287171240203,978.8060796645703,579.866467597784,32.32428282883815,22187.75403563942,0.3977169827423381,799.9947659480448,4.876510231380282,296.17137557093275,183.09312928966114,14.128772867258283,2349.005396881692,0.31649714909568444
Acaulospora cavernata,2,509.5,6.247812510390455,1075.9875,742.297434692143,28.874309207116152,20139.3875,0.390000009536743,645.5884912233179,1.2534940213861256,649.99023093620406,157.08404680088955,8.390094841536387,73.52142757387026,0.08485280868476344
Acaulospora koskei,8,1312,4.11805556512748,1375.16666666667,629.327865016255,19.532055801036,17482.6666666667,0.371666669845581,0,0,0,0,0,0,0
Acaulospora lacunosa,6,89.16666666666667,17.686921356590823,1116.4583333333333,655.8762277184663,19.8056147422414,22775.166666666668,0.8155555526415501,36.98873702448715,4.0486406964046004,164.4281314637695,79.76303831861776,12.536326909982945,2534.1332969413165,0.1225772580190703
Acaulospora laevis,22,464.72727272727275,11.275426189080726,906.8484848484849,345.53109698696056,29.239333719273016,23939.498484848486,0.8318787868050015,755.475831249241,4.318113573084198,231.37040591450912,124.6870126955839,12.310388371532381,1438.7235686934455,0.2442722385809263
Acaulospora mellea,13,268.3076923076923,18.94653846690286,1311.5692307692307,405.94864571222854,32.45416772701564,23124.91153846154,1.1210769194823051,251.42208356181465,2.977868371974918,321.69790988497107,76.42003756738544,20.01774802236678,1582.896847312158,0.2545429659208941
Acaulospora nivalis,6,1402.5,2.0642361228302515,932.6666666666665,467.9612843699145,12.68860298541075,18976.41666666665,0.37749999947845947,1277.8367266595526,3.0303511173667994,469.76338015359767,159.14459303174735,1.762729578348403,2537.1421734568653,0.16705538191626712
Acaulospora pustulata,2,6,9.14034722668843,1351.933333333335,441.87763504626105,26.1475592499012,17578.11666666665,0.709999978542328,0,0.003044482811997399,3.8655170704887323,0.1821785746303123,0.034309601528060105,2.4277332820487745,0
Acaulospora scrobiculata,8,335.25,24.2843228687843,2214.9375,242.5802640521549,66.88710273869077,19864.05625,1.883374992012979,106.77312395916867,1.8533562693995171,417.36977759535966,61.07212266073134,7.870926443150563,1768.6331587733227,0.34400745815097594
Acervus flavidus,4,373,24.9395832618078,2362.5,220.988008014725,69.6698954697769,19238.75,2.00499999523163,0,0,0,0,0,0,0
