"clade","species","value"
"basal_dicots","Ambavia gerrardii (Baill.) Le Thomas",699.3513514
"basal_dicots","Amborella trichopoda Baill.",3.675
"basal_dicots","Anaxagorea panamensis Standl.",92.7
"basal_dicots","Anemopsis californica Hook. & Arn.",0.364
"basal_dicots","Aniba sp.",505
"basal_dicots","Annona acuminata Saff.",36
"basal_dicots","Annona cherimola Mill.",351.04
"basal_dicots","Annona glabra L.",183
"basal_dicots","Annona hayesii Saff.",62
"basal_dicots","Annona hypoglauca Mart.",444
"basal_dicots","Annona jahnii Saff.",31.13
"basal_dicots","Annona muricata L.",396
"basal_dicots","Annona neglecta R.E.Fr.",133
"basal_dicots","Annona purpurea Moc. & Sessé ex Dunal",897
"basal_dicots","Annona reticulata L.",239.2
"basal_dicots","Annona senegalensis Pers.",94.25
"basal_dicots","Annona senegalensis Pers. var. senegalensis",117.8
"basal_dicots","Annona sp.",133.3
"basal_dicots","Annona spraguei Saff.",37
"basal_dicots","Annona squamosa L.",267
"basal_dicots","Annona urbaniana R.E.Fr.",337.1704
"basal_dicots","Aristolochia albida Duch.",3.711
"basal_dicots","Aristolochia bracteolata Lam.",8.2581
"basal_dicots","Aristolochia chapmaniana Standl.",6
"basal_dicots","Aristolochia chilensis",6.7758
"basal_dicots","Aristolochia clematitis L.",42.2156
"basal_dicots","Aristolochia elegans Mast.",2.104
"basal_dicots","Aristolochia iberica Fisch. & C.A.Mey. ex Boiss",19.3696
"basal_dicots","Aristolochia maurorum L.",53
"basal_dicots","Aristolochia maxima Jacq.",8.6019231
"basal_dicots","Aristolochia paecilantha Boiss.",26.8788
"basal_dicots","Aristolochia pontica Lam.",13.6461216
"basal_dicots","Aristolochia ringens Vahl",4.3764
"basal_dicots","Aristolochia sempervirens L.",27.2928
"basal_dicots","Aristolochia tagala Cham.",4.8088
"basal_dicots","Aristolochia taliscana Hook. & Arn.",2.604
"basal_dicots","Aristolochia tomentosa Sims",29.2324
"basal_dicots","Artabotrys brachypetalus Benth.",976.76
"basal_dicots","Artabotrys hexapetalus (L.f.) Bhandari",587
"basal_dicots","Artabotrys monteiroae Oliv.",268
"basal_dicots","Asarum canadense L.",7.78
"basal_dicots","Asarum europaeum L.",2.82
"basal_dicots","Asarum hartwegii S.Watson",9.523
"basal_dicots","Ascarina lucida Hook.f.",0.55
"basal_dicots","Ascarina philippinensis",1.1
"basal_dicots","Ascarina polystachya J.R. & G.Forst.",0.28
"basal_dicots","Ascarina rubricaulis Solms",0.303
"basal_dicots","Ascarina solmsiana Schltr.",0.733
"basal_dicots","Ascarina swamyana A.C.Sm.",1.057
"basal_dicots","Asimina parviflora Dunal",300.6
"basal_dicots","Asimina triloba Dunal",847
"basal_dicots","Atherosperma moschatum Labill.",1.388
"basal_dicots","Austrobaileya scandens C.T.White",365
"basal_dicots","Beilschmiedia bancroftii (F.M.Bailey) C.T.White",20179
"basal_dicots","Beilschmiedia kweo (Mildbr.) Robyns & R Wilczek",21111
"basal_dicots","Beilschmiedia miersii (Gay) Kosterm.",3745
"basal_dicots","Beilschmiedia pendula (Sw.) Hemsl.",4744
"basal_dicots","Beilschmiedia recurva Hyland",1261
"basal_dicots","Beilschmiedia sp.",5600
"basal_dicots","Beilschmiedia tarairi (A.Cunn.) Kirk",2500
"basal_dicots","Beilschmiedia tawa (A.Cunn.) Kirk",1250
"basal_dicots","Beilschmiedia tooram (Bailey) Hyland",5800
"basal_dicots","Beilschmiedia volckii Hyland",24000
"basal_dicots","Bocageopsis multiflora (M.Martens) R.E.Fr.",200
"basal_dicots","Brasenia schreberi J.F.Gmel.",6.78
"basal_dicots","Brasenia tuberosa",9.805
"basal_dicots","Cabomba caroliniana A.Gray",1.143
"basal_dicots","Calycanthus floridus L.",59.4
"basal_dicots","Calycanthus occidentalis Hook. & Arn.",76.899
"basal_dicots","Cananga odorata (Lam.) Hook.f. & Thomson",61.6
"basal_dicots","Cassytha ciliolata Nees",38.102
"basal_dicots","Cassytha filiformis L.",40.95
"basal_dicots","Cassytha flindersii (J.Z.Weber) J.Z.Weber",20.9716
"basal_dicots","Cassytha glabella R.Br.",28.26
"basal_dicots","Cassytha melantha R.Br.",73.0328
"basal_dicots","Cassytha pedicellosa J.Z.Weber",10.225
"basal_dicots","Cassytha pubescens R.Br.",38.97
"basal_dicots","Cephalosphaera usambarensis (Warb.) Warb.",23377
"basal_dicots","Chimonanthus praecox (L.) Link",109.6
"basal_dicots","Chloranthus erectus (Buch.-Ham.) Verdc.",2.16
"basal_dicots","Chloranthus fortunei (A.Gray) Solms",0.98
"basal_dicots","Chloranthus henryi Hemsl.",1.346
