"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Acaulospora_alpina",NA,"Acaulosporaceae","Diversisporales",53,65,85,97,53,65,85,97,"globose to subglobose",75,75,75,75,220893.233455532,220893.233455532,"Micrometers","Cubic micrometers","Glomeromycota",4417.86466911065,"Azygospores"
"Acaulospora_baetica",NA,"Acaulosporaceae","Diversisporales",69,69,96,96,65,65,92,92,"globose to subglobose",78.5,82.5,78.5,82.5,266190.090781776,266190.090781776,"Micrometers","Cubic micrometers","Glomeromycota",5086.43485570272,"Azygospores"
"Acaulospora_bireticulata",NA,"","",150,150,155,155,150,150,155,155,"globose",152.5,152.5,152.5,152.5,1856983.96381371,1856983.96381371,"Micrometers","Cubic micrometers","Glomeromycota",18265.4160375119,"Azygospores"
"Acaulospora_brasiliensis","Ambispora_brasiliensis","Acaulosporaceae","Diversisporales",62,62,95,95,62,62,95,95,"globose to subglobose to ovoid",78.5,78.5,78.5,78.5,253283.904562053,253283.904562053,"Micrometers","Cubic micrometers","Glomeromycota",4839.81983239593,"Azygospores"
"Acaulospora_capsicula",NA,"","",170,298,298,330,170,298,298,330,"globose to subglobose to irregular",298,298,250,250,13856304.3691329,8181230.86872342,"Micrometers","Cubic micrometers","Glomeromycota",69746.498502347,"Azygospores"
"Acaulospora_cavernata",NA,"Acaulosporaceae","Diversisporales",11,140,140,170,11,140,140,170,"globose to subglobose",140,140,90.5,90.5,1436755.04024173,388100.640901879,"Micrometers","Cubic micrometers","Glomeromycota",15393.80400259,"Azygospores"
"Acaulospora_colliculosa",NA,"Acaulosporaceae","Diversisporales",75,84.25,84.72,99.6,75,84.25,84.72,99.6,"globose to subglobose",84.485,84.485,87.3,87.3,315745.701991768,348370.485219465,"Micrometers","Cubic micrometers","Glomeromycota",5605.948428569,"Azygospores"
"Acaulospora_colombiana","Entrophospora_colombiana Kuklospora_colombiana","Acaulosporaceae","Diversisporales",75,100,115,135,75,100,115,135,"globose",107.5,107.5,105,105,650465.122679593,606131.032601981,"Micrometers","Cubic micrometers","Glomeromycota",9076.25752576176,"Azygospores"
"Acaulospora_colombiana","Entrophospora_colombiana Kuklospora_colombiana","Acaulosporaceae","Diversisporales",75,100,115,135,75,100,115,135,"globose",107.5,107.5,105,105,650465.122679593,606131.032601981,"Micrometers","Cubic micrometers","Glomeromycota",9076.25752576176,"Azygospores"
"Acaulospora_colossica",NA,"","",180,279,279,380,180,279,279,380,"globose to subglobose",279,279,280,280,11371329.1892859,11494040.3219339,"Micrometers","Cubic micrometers","Glomeromycota",61136.1784370208,"Azygospores"
"Acaulospora_delicata",NA,"Acaulosporaceae","Diversisporales",80,80,125,150,80,80,110,140,"globose to subglobose",95,102.5,110,115,484361.592351901,728587.696245033,"Micrometers","Cubic micrometers","Glomeromycota",7647.81461608265,"Azygospores"
"Acaulospora_denticulata",NA,"","",120,149.3,149.3,180,120,149.3,149.3,180,"globose to subglobose",149.3,149.3,150,150,1742521.09943288,1767145.86764426,"Micrometers","Cubic micrometers","Glomeromycota",17506.9099072292,"Azygospores"
"Acaulospora_dilatata",NA,"Acaulosporaceae","Diversisporales",78,106,106,130,78,106,106,130,"globose to subglobose",106,106,104,104,623614.519317984,588977.413114605,"Micrometers","Cubic micrometers","Glomeromycota",8824.73376393373,"Azygospores"
"Acaulospora_elegans",NA,"","",140,140,285,285,140,140,285,285,"globose to subglobose",212.5,212.5,212.5,212.5,5024298.40725477,5024298.40725477,"Micrometers","Cubic micrometers","Glomeromycota",35465.635815916,"Azygospores"
"Acaulospora_entreriana",NA,"Acaulosporaceae","Diversisporales",280,280,300,300,280,280,300,300,"globose to subglobose",290,290,290,290,12770050.5380669,12770050.5380669,"Micrometers","Cubic micrometers","Glomeromycota",66051.9855417254,"Azygospores"
"Acaulospora_excavata",NA,"","",115,115,200,200,100,100,165,165,"globose to subglobose",132.5,157.5,132.5,157.5,1447807.88314538,1447807.88314538,"Micrometers","Cubic micrometers","Glomeromycota",16390.2779224005,"Azygospores"
"Acaulospora_foveata",NA,"Acaulosporaceae","Diversisporales",185,185,310,410,215,215,350,480,"globose to ellipsoid",247.5,282.5,297.5,347.5,9060819.54311248,16103763.0361469,"Micrometers","Cubic micrometers","Glomeromycota",54914.0578370453,"Azygospores"
"Acaulospora_gedanensis",NA,"","",55,65,65,75,55,65,65,75,"globose to subglobose",65,65,65,65,143793.313748683,143793.313748683,"Micrometers","Cubic micrometers","Glomeromycota",3318.30724035422,"Azygospores"
"Acaulospora_ignota",NA,"Acaulosporaceae","Diversisporales",65,72,72,80,65,72,72,80,"globose to subglobose",72,72,72.5,72.5,195432.195794514,199532.039657295,"Micrometers","Cubic micrometers","Glomeromycota",4071.50407905237,"Azygospores"
"Acaulospora_kentinensis","Entrophospora_kentinensis Kuklospora_kentinensis","Acaulosporaceae","Diversisporales",85,85,140,140,95,95,210,210,"globose to subglobose to ellipsoid",112.5,152.5,112.5,152.5,1010586.54305906,1010586.54305906,"Micrometers","Cubic micrometers","Glomeromycota",13474.4872407875,"Azygospores"
"Acaulospora_koskei",NA,"Acaulosporaceae","Diversisporales",80,183,183,340,80,183,183,340,"globose to subglobose",183,183,210,210,3208868.28947009,4849048.26081585,"Micrometers","Cubic micrometers","Glomeromycota",26302.1990940171,"Azygospores"
"Acaulospora_lacunosa",NA,"Acaulosporaceae","Diversisporales",98,131,131,186,98,131,131,186,"globose to subglobose",131,131,142,142,1177097.69503356,1499214.0909853,"Micrometers","Cubic micrometers","Glomeromycota",13478.2178820636,"Azygospores"
"Acaulospora_laevis",NA,"Acaulosporaceae","Diversisporales",119,119,300,300,119,119,520,520,"globose to subglobose",209.5,319.5,209.5,319.5,7342391.53084468,7342391.53084468,"Micrometers","Cubic micrometers","Glomeromycota",52570.822416549,"Azygospores"
"Acaulospora_longula",NA,"Acaulosporaceae","Diversisporales",55,75,90,100,55,75,90,100,"globose to subglobose",82.5,82.5,77.5,77.5,294008.893729314,243727.048810139,"Micrometers","Cubic micrometers","Glomeromycota",5345.61624962388,"Azygospores"
"Acaulospora_mellea",NA,"Acaulosporaceae","Diversisporales",72,95,105,126,72,95,105,126,"globose to subglobose",100,100,99,99,523598.775598299,508047.368364254,"Micrometers","Cubic micrometers","Glomeromycota",7853.98163397448,"Azygospores"
"Acaulospora_minuta",NA,"Acaulosporaceae","Diversisporales",150,175,230,230,150,175,230,230,"globose to subglobose",202.5,202.5,190,190,4347841.51410524,3591364.00182873,"Micrometers","Cubic micrometers","Glomeromycota",32206.2334378166,"Azygospores"
"Acaulospora_morrowiae",NA,"Acaulosporaceae","Diversisporales",63,79,92,120,63,79,92,120,"globose to subglobose",85.5,85.5,91.5,91.5,327263.044666643,401108.536183761,"Micrometers","Cubic micrometers","Glomeromycota",5741.4569239762,"Azygospores"
"Acaulospora_myriocarpa",NA,"","",22,32,90,90,22,32,90,90,"globose to subglobose",61,61,56,56,118846.973684077,91952.3225754708,"Micrometers","Cubic micrometers","Glomeromycota",2922.4665660019,"Azygospores"
"Acaulospora_nicolsonii",NA,"","",99,99,198,198,99,99,198,198,"globose to subglobose",148.5,148.5,148.5,148.5,1714659.86822936,1714659.86822936,"Micrometers","Cubic micrometers","Glomeromycota",17319.7966487814,"Azygospores"
"Acaulospora_nivalis",NA,"Acaulosporaceae","Diversisporales",75,80,88,97,75,80,88,97,"globose to subglobose",84,84,86,86,310339.088692214,333038.142811952,"Micrometers","Cubic micrometers","Glomeromycota",5541.76944093239,"Azygospores"
"Acaulospora_paulinae",NA,"Acaulosporaceae","Diversisporales",60,72,72,95,60,72,72,95,"globose to subglobose",72,72,77.5,77.5,195432.195794514,243727.048810139,"Micrometers","Cubic micrometers","Glomeromycota",4071.50407905237,"Azygospores"
"Acaulospora_polonica",NA,"","",80,94,94,115,80,94,94,115,"globose to subglobose",94,94,97.5,97.5,434892.765431537,485302.433901804,"Micrometers","Cubic micrometers","Glomeromycota",6939.77817177985,"Azygospores"
"Acaulospora_punctata",NA,"Acaulosporaceae","Diversisporales",105,105,129,129,105,105,129,129,"globose to subglobose",117,117,117,117,838602.605782318,838602.605782318,"Micrometers","Cubic micrometers","Glomeromycota",10751.3154587477,"Azygospores"
"Acaulospora_punctata",NA,"","",105,105,129,129,105,105,129,129,"globose to subglobose",117,117,117,117,838602.605782318,838602.605782318,"Micrometers","Cubic micrometers","Glomeromycota",10751.3154587477,"Azygospores"
"Acaulospora_pustulata",NA,"Acaulosporaceae","Diversisporales",45,45,65,72,44,44,62,68,"globose to subglobose",53,55,56,58.5,80893.3928360592,96057.3369761615,"Micrometers","Cubic micrometers","Glomeromycota",2289.43564630356,"Azygospores"
"Acaulospora_rehmii",NA,"","",100,141,141,160,100,141,141,160,"globose to subglobose",141,141,130,130,1467763.08333144,1150346.50998946,"Micrometers","Cubic micrometers","Glomeromycota",15614.5008865047,"Azygospores"
