"species","spore.length","spore.width","spore.shape2","spore.shape","spore.volume","genus","species2","family","order","class","phylum","SporeName"
"Acanthostigma sp1.","8.5","3.8","2.236842105","Ellipsoid","96.39977058","Acanthostigma","sp1.","Tubeufiaceae","Tubeufiales","Dothideomycetes","Ascomycota","Ascospores"
"Acrogenospora carmichaeliana","22.5","10.5","2.142857143","Ellipsoid","1948.278319","Acrogenospora","carmichaeliana","Hysteriaceae","Hysteriales","Dothideomycetes","Ascomycota","Ascospores"
"Actidium hysterioides","14.5","2.25","6.444444444","Ellipsoid","57.65313393","Actidium","hysterioides","Mytilinidiaceae","Mytilinidiales","Dothideomycetes","Ascomycota","Ascospores"
"Alutaceodontia alutacea","7","1.65","4.242424242","Allantoid","14.9677255","Alutaceodontia","alutacea","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amphinema byssoides","4.5","2.5","1.8","Ellipsoid","22.08932335","Amphinema","byssoides","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amphisphaerella dispersella","24","9","2.666666667","Ellipsoid","1526.81403","Amphisphaerella","dispersella","Phlogicylindriaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Amphisphaeria bertiana","11","4.5","2.444444444","Ellipsoid","174.9474409","Amphisphaeria","bertiana","Amphisphaeriaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Amylocorticiellum cremeoisabellinum","6","3.5","1.714285714","Ellipsoid","57.72676501","Amylocorticiellum","cremeoisabellinum","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amylocorticiellum subillaqueatum","4","2.25","1.777777778","Ellipsoid","15.90431281","Amylocorticiellum","subillaqueatum","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amylocorticium cebennence","6.75","2.25","3","Allantoid","26.83852786","Amylocorticium","cebennence","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amylocorticium pedunculatum","4.5","3.25","1.384615385","Ellipsoid","37.33095645","Amylocorticium","pedunculatum","Amylocorticiaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amylocystis lapponica","7.8","2.95","2.644067797","Cylindrical","53.31243463","Amylocystis","lapponica","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Amyloporia sinuosa","5.45","1.6","3.40625","Allantoid","10.95787518","Amyloporia","sinuosa","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
