"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Agaricus_arvensis",7.5,5,98.174770424681,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_augustus",8.5,5.5,134.630335175713,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_bisporus",6,4.8,72.3822947387088,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_bitorquis",5.7,4.9,71.6581576320564,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_campestris",7.5,5.3,110.309172049172,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_essettei",7,4.5,74.2201264410589,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_langei",8,5,104.71975511966,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_silvicola",5.5,3.5,35.2774675059354,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_sylvaticus",5.3,3.8,40.072061494089,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_xanthodermus",5.5,4.5,58.3158136322605,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_cylindrica",10,5.8,176.138628111268,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_erebia",13,6.8,314.745695987649,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Agaricus_praecox",9,6,169.646003293849,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_battarrae",12.5,11.7,895.942954895639,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_citrina",9,8,301.59289474462,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_crocea",10.8,9.8,543.093405211375,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_excelsa",8.5,7,218.078890036691,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_fulva",10.5,10.5,606.131032601981,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_gemmata",10,7.5,294.524311274043,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_muscaria",9,6.5,199.098434421253,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_pachyvolvata",11.3,11.3,755.499102514459,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_pantherina",11,8,368.613538021202,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_phalloides",8.3,6.8,200.953021284422,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_rubescens",8.5,6.5,188.037410286739,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_strobiliformis",11.8,7.8,375.897844187326,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_submembranacea",12,12,904.77868423386,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_vaginata",10.7,9.2,474.196183923048,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Amanita_virosa",7.5,7.5,220.893233455532,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Ampulloclitocybe_clavipes",7.8,4.5,82.7024266057513,"Basidiospores","Basidiomycota","Bassler_etal_2015"
