"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Chlamydospores formed both terminal and intercalary, 7-13 µm","Fusarium oxysporum f.sp. vasinfectum_10891_13800","Chlamydospores","7-13",10,NA,NA
"Chlamydospores limoniform, 12 x 7 µm,","Odontia uda_16812_1726","Chlamydospores","12 x 7",12,7,NA
"Chlamydospores often produced in culture, thick-walled, 5-12 µm","Dactylaria oryzae_161514_13994","Chlamydospores","5-12",8.5,NA,NA
"chlamydospores slightly thick-walled, intercalary, oval to cylindrical, 20.1-24.6 x 6.1-10.7 µm.","Ungulina cubensis_69871_7403","chlamydospores","20.1-24.6 x 6.1-10.7",22.35,8.4,NA
"Chlamydospores globose to limoniform, 6-10 x 5-8 µm,","Acia dissita_69788_1638","Chlamydospores","6-10 x 5-8",8,6.5,NA
"Chlamydospores scattered at 2 weeks, more common later,terminal and intercalary, fusoid to clavate, finally subglobose, about 7-10 x 6-8 µm,","Acia dissita_69788_32923","Chlamydospores","7-10 x 6-8",8.5,7,NA
"Chlamydospores limoniform, 12 x 7 µm,","Acia uda_69775_1726","Chlamydospores","12 x 7",12,7,NA
"Chlamydospores found only in F1554, rare, terminal and intercalary, thin-walled, 9.0-13.5 x 6.0-9.0 µm).","Polyporellus brumalis_36967_715","Chlamydospores","9.0-13.5 x 6.0-9.0",11.25,7.5,NA
"chlamydospores rare, intercalary or terminal, slightly thick-walled, 3.6-18.3 x 2.5-9.8 µm.","Polyporellus brumalis_36967_7295","chlamydospores","3.6-18.3 x 2.5-9.8",10.95,6.15,NA
"chlamydospores terminal or intercalary, with medium thick walls, ellipsoid to subglobose, 13-16.5 x 10-14 µm","Ischnoderma soloniense_70001_43179","chlamydospores","13-16.5 x 10-14",14.75,12,NA
"chlamydospores numerous in some isolates, apparently lacking in others, with walls slightly thickened, ovoid, 16.0-24.0 x 9.0-16.5 µm.","Ischnoderma resinosum_13766_743","chlamydospores","16.0-24.0 x 9.0-16.5",20,12.75,NA
"chlamydospores rare or apparently lacking, intercalary and terminal, thin-walled, 9.0-13. 5 x 6.0-7.5 µm.","Polyporellus arcularius_70035_710","chlamydospores","9.0-13. 5 x 6.0-7.5",11.25,6.75,NA
"(c)chlamydospores numerous, hyaline, thick-walled, smooth, terminal and intercalary, amyloid, cyanophilous, 7.5-12.0 x 3.5-8.0 µm","Hansenia rubida_69934_4489","(c)chlamydospores","7.5-12.0 x 3.5-8.0",9.75,5.75,NA
"chlamydospores numerous, terminal as well as intercalary, 7.3-13.5 x 3.6-8.5 µm.","Hansenia rubida_69934_7318","chlamydospores","7.3-13.5 x 3.6-8.5",10.4,6.05,NA
