names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Arthrinium arundinis,Plant Pathogen undefined,Sphaeria montagnei,spots,Plant necrotroph,"KHAN, Abdul Hamid. Some new diseases of hardwoods and bamboo in Pakistan. Mycopathologia et mycologia applicata, 1961, 14. Jg., Nr. 4, S. 241-262.",,,,found it as Apiospora Montagnei,,,
Arthrinium arundinis,Plant Pathogen undefined,Apiospora montagnei,spots,Plant necrotroph,"KHAN, Abdul Hamid. Some new diseases of hardwoods and bamboo in Pakistan. Mycopathologia et mycologia applicata, 1961, 14. Jg., Nr. 4, S. 241-262.",,,,,,,
Fusarium roseum,Plant Pathogen undefined,Botryosphaeria pulicaris,cankers blights rots,Plant necrotroph,"https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx 
https://www.apsnet.org/edcenter/resources/commonnames/Pages/Potato.aspx",,,,,,,
Fusarium roseum,Plant Pathogen undefined,Cucurbitaria pulicaris,cankers blights rots,Plant necrotroph,"https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx 
https://www.apsnet.org/edcenter/resources/commonnames/Pages/Potato.aspx",,,,,,,
Fusarium roseum,Plant Pathogen undefined,Nectria pulicaris,cankers blights rots,Plant necrotroph,"https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx 
https://www.apsnet.org/edcenter/resources/commonnames/Pages/Potato.aspx",,,,,,,
Fusarium roseum,Plant Pathogen undefined,Gibbera pulicaris,cankers blights rots,Plant necrotroph,"https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx 
https://www.apsnet.org/edcenter/resources/commonnames/Pages/Potato.aspx",,,,,,,2 source
Fusarium roseum,Plant Pathogen undefined,Gibberella pulicaris,cankers blights rots,Plant necrotroph,"https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx 
https://www.apsnet.org/edcenter/resources/commonnames/Pages/Potato.aspx",,,,,,,
Phomopsis phaseoli,Plant Pathogen undefined,Septomazzantia phaseolorum,blights,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Bean.aspx,,,,,,,
Phomopsis phaseoli,Plant Pathogen undefined,Diaporthe phaseolorum,blights,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Bean.aspx,,,,,,,
Thanatephorus cucumeris,Plant Pathogen undefined,Thanatephorus cucumeris,rots damping-off blights,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cucurbits.aspx,,,,,,,
