"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Teliospores in chains loosely united laterally then the chains tending to separate, barrel-shaped, oblong or ovoid, 14-22 x 10-13 µm;","Cerotelium fici_117177_14249","Teliospores","14-22 x 10-13",18,11.5,NA
"Teliospores one-celled, cylindrical, broadly ellipsoid or oblong, smooth, 8.7-11.4 x 14.6-20.8 µm,","Cerotelium fici_117177_70696","Teliospores","8.7-11.4 x 14.6-20.8",10.05,17.7,NA
"Teliospores ellipsoid, slightly constricted at septum, 30-45 x 21-27 µm;","Puccinia ortonii_124979_13457","Teliospores","30-45 x 21-27",37.5,24,NA
"Teliospores catenulate, surrounded by a clear matrix, ellipsoidal to subglobose, 16-26 x 8-20 µm.","Stilbechrysomyxa succinea_145847_19060","Teliospores","16-26 x 8-20",21,14,NA
"teliospores chestnut brown, trigonal, globose to suborbicular, eight celled, 31-35 x 22.3-33(-34.9) µm,","Sphaerophragmium annulatipes_127535_41892","teliospores","31-35 x 22.3-33(-34.9)",33,33,NA
"Teliospores eight-celled, globose to subglobose, 31-35 µm","Sphaerophragmium annulatipes_127535_41893","Teliospores","31-35",33,NA,NA
"teliospores occur intercalarily or terminally on hyphae or hyphal branchlets, singly or in small clusters, (sub)globose, ellipsoidal or fusiform, 10-16(-35) x 6.0-16.0 µm,","Sporidiobolus pararoseus_106948_18633","teliospores","10-16(-35) x 6.0-16.0",16,11,NA
"teliospores ellipsoidal to (sub)globose, measuring 11-16 x 10-13 µm.","Sporidiobolus pararoseus_106948_18633","teliospores","11-16 x 10-13",13.5,11.5,NA
"Teliospores unicellular, hyaline to subhyaline, smooth, thin-walled, guttulate, globose to ovoid (15-)17-23(-25) x (13-)15-19 µm;","Dietelia portoricensis_150619_15337","Teliospores","(15-)17-23(-25) x (13-)15-19",20,15,NA
"Teliospores cylindric, apex round, base round or slightly tapered, 2-6 cells, 35-97 x 21-35 µm;","Frommeëlla tormentillae_150149_13694","Teliospores","35-97 x 21-35",66,28,NA
"Teliospores narrowly to broadly ellipsoid, not constricted at septum, 35-55 x 18-28 µm;","Gymnosporangium corniculans_133271_13365","Teliospores","35-55 x 18-28",45,23,NA
