"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Colletotrichum citri","anthracnose","anthracnose","anthracnose"
"Colletotrichum conoides","anthracnose","anthracnose","anthracnose"
"Colletotrichum dracaenophilum","anthracnose","anthracnose","anthracnose"
"Colletotrichum eremochloae","anthracnose","anthracnose","anthracnose"
"Colletotrichum grossum","anthracnose","anthracnose","anthracnose"
"Colletotrichum guajavae","anthracnose","anthracnose","anthracnose"
"Colletotrichum hanaui","anthracnose","anthracnose","anthracnose"
"Colletotrichum henanense","anthracnose","anthracnose","anthracnose"
"Colletotrichum lentis","anthracnose","anthracnose","anthracnose"
"Colletotrichum liaoningense","anthracnose","anthracnose","anthracnose"
"Colletotrichum lobatum","anthracnose","anthracnose","anthracnose"
"Colletotrichum melonis","anthracnose","anthracnose","anthracnose"
"Colletotrichum musicola","anthracnose","anthracnose","anthracnose"
"Colletotrichum navitas","anthracnose","anthracnose","anthracnose"
"Colletotrichum nicholsonii","anthracnose","anthracnose","anthracnose"
"Colletotrichum paspali","anthracnose","anthracnose","anthracnose"
"Colletotrichum pisicola","anthracnose","anthracnose","anthracnose"
"Colletotrichum rhombiforme","anthracnose","anthracnose","anthracnose"
"Colletotrichum scovillei","anthracnose","anthracnose","anthracnose"
"Colletotrichum simmondsii","anthracnose","anthracnose","anthracnose"
"Colletotrichum sojae","anthracnose","anthracnose","anthracnose"
"Colletotrichum syzygicola","anthracnose","anthracnose","anthracnose"
"Colletotrichum tamarilloi","anthracnose","anthracnose","anthracnose"
"Colletotrichum tanaceti","anthracnose","anthracnose","anthracnose"
"Colletotrichum vietnamense","anthracnose","anthracnose","anthracnose"
"Elsinoë ampelina","anthracnose","anthracnose","anthracnose"
"Fusarium lunatum","anthracnose","anthracnose","anthracnose"
"Gloeosporium lunatum","anthracnose","anthracnose","anthracnose"
"Glomerella truncata","anthracnose","anthracnose","anthracnose"
"Microdochium lunatum","anthracnose","anthracnose","anthracnose"
"Colletotrichum cordylinicola","anthracnose,disease on fruits in inoculation experiments","anthracnose disease_on_fruits_in_inoculation_experiments","anthracnose"
"Colletotrichum lindemuthianum","anthracnose of common bean, also leaf, stem,pod anthracnose","anthracnose_of_common_bean also_leaf stem pod_anthracnose","anthracnose"
"Gloeosporium lindemuthianum","anthracnose of common bean, also leaf, stem,pod anthracnose","anthracnose_of_common_bean also_leaf stem pod_anthracnose","anthracnose"
"Colletotrichum lupini","anthracnose of lupin","anthracnose_of_lupin","anthracnose"
