"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores oblong elliptical, basal part sometimes more obtuse than the apical part, hyaline or pale yellow, transversely 3-septate, but one of the central cells may become longitudinally septate, somewhat constricted at the median septum, 13-15 x 5-6 µm.Conidial","Elsinoë phaseoli_9321_14285","Ascospores","13-15 x 5-6",14,5.5,NA,NA,NA
"Ascospores oblong elliptical, hyaline or pale yellow, 3-septate, constricted at the septa, 18-21 x 6-8 µm,","Elsinoë veneta_9347_14451","Ascospores","18-21 x 6-8",19.5,7,NA,NA,NA
"Ascospores 1-3 seriate, one-celled, ellipsoidal or rhomboidal, straight or slightly curved, 12-18 x 7-9 µm,","Guignardia aesculi_12236_8210","Ascospores","12-18 x 7-9",15,8,NA,NA,NA
"Ascospores hyaline, straight or slightly curved, subellipsoid, wider in the mid region, 12-18 x 7-9 µm.","Guignardia aesculi_12236_18145","Ascospores","12-18 x 7-9",15,8,NA,NA,NA
"Ascospores irregularly biseriate, hyaline, cylindrical, 18-23 x 3-5 µm,","Mycosphaerella brassicicola_16885_14435","Ascospores","18-23 x 3-5",20.5,4,NA,NA,NA
"Ascospores irregularly biseriate, hyaline, ellipsoid, guttulate, constricted at the septum, rounded at the ends, 12-18 x 4-8 µm.","Mycosphaerella pinodes_16949_14311","Ascospores","12-18 x 4-8",15,6,NA,NA,NA
"ascospores simple, ovoid, 26-43 x 15-26 µm.","Lecanora tartarea var. frigida_398442_56422","ascospores","26-43 x 15-26",34.5,20.5,NA,NA,NA
"Ascospores arranged biseriately, 10,5-16 x 6,5-8,5 µm,","Phyllachora ramosii_145243_16673","Ascospores","10,5-16 x 6,5-8,5",13.25,7.5,NA,NA,NA
"ascospores fusiform, tapering towards both ends, 1-septate, slightly constricted at septum, hyaline, smooth-walled, irregularly biseriate, 13.5-16.5 x 4.5-5.5 µm.","Dothidella periclymeni_146626_30759","ascospores","13.5-16.5 x 4.5-5.5",15,5,NA,NA,NA
"Ascospores arranged bi-to tri-seriately, unicellular, cylindric, hyaline, guttulate, 26-36 x 7-10 µm,","Catacauma alpiniae_143442_16823","Ascospores","26-36 x 7-10",31,8.5,NA,NA,NA
"Ascospores arranged biseriately (rarely obliquely uniseriately), (14-)16-23 x 8-11 µm,","Catacauma dalbergiicola_153586_16834","Ascospores",")(14-)16-23 x 8-11",16,9.5,NA,NA,NA
"Ascospores pale green, becoming olivaceous, clavate, 13-18 x 4.5-7.5 µm,","Dibotryon morbosum_8298_13262","Ascospores","13-18 x 4.5-7.5",15.5,6,NA,NA,NA
"Ascospores clavate, apex obtuse, taperedtowards the base, 1-septate near the base, smooth-walled, olivaceous, 14-18 µm","Dibotryon morbosum_8298_14050","Ascospores","14-18",16,NA,NA,NA,NA
"Ascospores hyaline, ovoid, 20-30 x 12-15 µm.","Desetangsia mors-uvae_374514_14070","Ascospores","20-30 x 12-15",25,13.5,NA,NA,NA
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Plectosphaera astragali_203124_18571","Ascospores","15,5-19 x 8,5-11",17.25,9.75,NA,NA,NA
"ascospores with either a firm-walled hyaline basal cell, the so-called ""primary appendage"" or with long slender mucilaginous structures, the ""secondary"", or with both.  Ref Winter, G., 1887, Rabenhorst's Kryptogamen-Flora, I (2): 173-174. => Podospora anerina (Rabh.): Asci cylindroidei, longissime stipitati, 2-4-spori, 110-125 µm","Podospora anserina_22233_23283","ascospores","110-125",117.5,NA,NA,NA,NA
"Ascospores cylindrical, ends rounded, slightly sigmoid, hyaline, aseptate; becoming differentiated into a swollen head and pedicel and transversely uniseptate; 70-90(-95) x 6-10 µm,","Podospora californica_143320_53414","Ascospores","; 70-90(-95) x 6-10",90,8,NA,NA,NA
"ascospores ellipsoid, 19-24 x 11-16 µm,","Podospora setosa_22317_23284","ascospores","19-24 x 11-16",21.5,13.5,NA,NA,NA
"Ascospores dark brown, ovate, 16-19 x 11-13 µm,","Podospora setosa_22317_23284","Ascospores","16-19 x 11-13",17.5,12,NA,NA,NA
"Ascospores olivaceous to brown, 18-21.5 x 11-13 µm,","Podospora setosa_22317_23284","Ascospores","18-21.5 x 11-13",19.75,12,NA,NA,NA
"Ascospores becoming differentiated into a swollen head and pedicel, head 15-19 x 8-10 µm,","Podospora natalitia_167667_53416","Ascospores","15-19 x 8-10",17,9,NA,NA,NA
"Ascospores monostichous, ovoid, 10-12 x 4-5 µm,","Systremma ulmi_194293_26502","Ascospores","10-12 x 4-5",11,4.5,NA,NA,NA
"Ascospores hyaline, rather irregular in shape, generally fusoid or broadly fusoid, broadest above the midpoint, one side often flattened or curved, pointed at the ends, usually aseptate, rarely with one median septum, biguttulate, 7-12 x 3-4,5 µm,","Stromatinia granigena_145620_16771","Ascospores","7-12 x 3-4,5",9.5,3.75,NA,NA,NA
"Ascospores yellowish to olivaceous, ellipsoid, 11-15 x 4-6 µm,","Euryachora betulina_161699_13269","Ascospores","11-15 x 4-6",13,5,NA,NA,NA
"Ascospores distichous in the ascus, elliptic-cylindric, septate towards the upper end of the spore, not or very slightly constricted at the septum, initially hyaline becoming yellowish to olivaceous when mature, 10-15 x 4-6 µm.","Euryachora betulina_161699_26501","Ascospores","10-15 x 4-6",12.5,5,NA,NA,NA
"Ascospores broadly lenticular, variable in size and appearance, 2.8-5.2 x 2.0-3.6 µm,","Eupenicillium crustaceum_9836_16325","Ascospores","2.8-5.2 x 2.0-3.6",4,2.8,NA,NA,NA
"Ascospores colourless, aseptate, fusiform or ellipsoid, 7,5-10 x 2,5-4 µm.","Ramularia obtusispora_166153_16042","Ascospores","7,5-10 x 2,5-4",8.75,3.25,NA,NA,NA
"Ascospores usually arranged biseriately, (7-)8-11,5(-13,5) x 5-7 (-9) µm,","Phyllachora machaeriicola_141445_16670","Ascospores","(7-)8-11,5(-13,5) x 5-7 (-9)",9.75,7,NA,NA,NA
"Ascospores biseriate in the ascus, hyaline, elliptic-cylindric or slightly clavate, 1-septate rather below themiddle, slightly constricted at the septum, 16-26 x 4,5-7 µm.","Dothidella ribesia_34405_15487","Ascospores","16-26 x 4,5-7",21,5.75,NA,NA,NA
"ascospores intertwined in the ascus. Ascospores thread-1ike, appearing to be the full length of the ascus 0.5-0.7 wide, aseptate (?), remaining entire, not often discharged. Sclerotia conspicuous, numerous on host, globose, 30-50 µm","Barya agaricicola_117007_22839","ascospores","30-50",40,NA,NA,NA,NA
"Ascospores thread-1ike, appearing to be the full length of the ascus 0.5-0.7 wide, aseptate (?), remaining entire, not often discharged. Sclerotia conspicuous, numerous on host, globose, 30-50 µm","Barya agaricicola_117007_22839","Ascospores","30-50",40,NA,NA,NA,NA
"Ascospores are hyaline, broadly fusoid with a single central septum, a small ridge occurs round the outer wall at the position of the septum, they are 12-15 x 5,5-6,5 µm","Corallomyces aurantiicola_133760_15496","Ascospores","12-15 x 5,5-6,5",13.5,6,NA,NA,NA
"ascospores uniseriate with overlapping ends. Ascospores fusiform, 26.7-30.0-33.4 x 4.9-5.9-6.8 µm,","Hypomyces australis_44968_23947","ascospores","26.7-30.0-33.4 x 4.9-5.9-6.8",30,5.9,NA,NA,NA
"Ascospores fusiform, 26.7-30.0-33.4 x 4.9-5.9-6.8 µm,","Hypomyces australis_44968_23947","Ascospores","26.7-30.0-33.4 x 4.9-5.9-6.8",30,5.9,NA,NA,NA
"Ascospores large, cylindrical to pyriform, sometimes slightly curved, variable in size, 25-40 x 12-22 µm.","Oidiopsis taurica_166124_14007","Ascospores","25-40 x 12-22",32.5,17,NA,NA,NA
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Puiggarina astragali_203125_18571","Ascospores","15,5-19 x 8,5-11",17.25,9.75,NA,NA,NA
"Ascospores 2-3-seriate, one-celled, ellipsoidal, hyaline, and, according to Koorders (l.c.), 11-13 x 4-5 µm.","Puiggarina morindae_165025_8197","Ascospores",".)11-13 x 4-5",12,4.5,NA,NA,NA
"Ascospores arranged biseriately, 10,5-16 x 6,5-8,5 µm,","Puiggarina ramosii_145244_16673","Ascospores","10,5-16 x 6,5-8,5",13.25,7.5,NA,NA,NA
"Ascospores smooth-walled, lenticular, 1,5-20 x 2,5-3 (-4) µm,","Arthroderma fulvum_17206_13900","Ascospores","1,5-20 x 2,5-3 (-4)",10.75,3,NA,NA,NA
"Ascospores hyaline, smooth-walled, lenticular, 2,5-3 µm","Arthroderma grubyi_17213_13901","Ascospores","2,5-3",2.75,NA,NA,NA,NA
"Ascospores smooth, lenticular, 1,5-2 µm","Arthroderma gypseum_17217_13902","Ascospores","1,5-2",1.75,NA,NA,NA,NA
