"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores ellipsoid, gold yellow to brownish-yellow, 8,5-13,5  x 4,5-7  µm,","Ganoderma boninense_76243_14409","Basidiospores","8,5-13,5 x 4,5-7",11,5.75,NA,NA
"Basidiospores truncate to oblong ellipsoid, 10-12 x 7-8 µm,","Ganoderma boninense_76243_44921","Basidiospores","10-12 x 7-8",11,7.5,NA,NA
"basidiospores ellipsoid to subglobose, 3.5-4.5(-5) x 2.5-3 µm,","Peniophora pallidula_68243_12653","basidiospores","3.5-4.5(-5) x 2.5-3",4.5,2.75,NA,NA
"Basidiospores ellipsoid, 3.5-4.5 x 2-2.5(-3) µm,","Peniophora pallidula_68243_50851","Basidiospores","3.5-4.5 x 2-2.5(-3)",4,2.5,NA,NA
"Basidiospores ellipsoid, 14-18 x 8-10(-12) µm,","Peniophora aurantiaca_461644_50979","Basidiospores","14-18 x 8-10(-12)",16,10,NA,NA
"basidiospores narrowly cylindrical or narrowly fusiform, usually sigmoid, 9.5-16 x 2-3 µm,","Peniophora longispora_70022_12665","basidiospores","9.5-16 x 2-3",12.75,2.5,NA,NA
"Basidiospores 12-18 x 8-12 lam","Uslaria morchellaeformis_143897_37145","Basidiospores","12-18 x 8-12",15,10,NA,NA
"basidiospores broadly ellipsoid, pale yellowish in KOH, smooth, thick-walled, negative in Melzer's reagent, 6-7 x 4.5-5 µm.","Serpula mollusca_77067_4574","basidiospores","6-7 x 4.5-5",6.5,4.75,NA,NA
"basidiospores ellipsoid, slightly flattened on one side, smooth, pale yellowish in KOH, weakly to strongly dextrinoid in Melzer's reagent, 4-5 x 3-4 µm","Serpula mollusca_77067_35305","basidiospores","4-5 x 3-4",4.5,3.5,NA,NA
"Basidiospores ellipsoid, 6-7 x 4-4.5 µm,","Serpula mollusca_77067_50918","Basidiospores","6-7 x 4-4.5",6.5,4.25,NA,NA
"Basidiospores ellipsoid to ovoid, 4-5 x 3-3.5 µm,","Peniophora nivea_70023_50952","Basidiospores","4-5 x 3-3.5",4.5,3.25,NA,NA
"basidiospores narrowly cylindrical or narrowly fusiform, usually sigmoid, 9.5-16 x 2-3 µm,","Kneiffia longispora_70005_12665","basidiospores","9.5-16 x 2-3",12.75,2.5,NA,NA
"basidiospores  7-8.5(-9) µm","Hypochnus olivascens_72109_856","basidiospores","7-8.5(-9)",8.5,NA,NA,NA
"Basidiospores 6-8 µm","Hypochnus olivascens_72109_932","Basidiospores","6-8",7,NA,NA,NA
"basidiospores  5-6(-6.5) µm","Hypochnus aurantiacus_72024_810","basidiospores","5-6(-6.5)",6,NA,NA,NA
"Basidiospores 6-7.5 µm","Hypochnus zygodesmoides_72324_911","Basidiospores","6-7.5",6.75,NA,NA,NA
"basidiospores ovoid or broadly ellipsoid, smooth, hyaline, 3-4 x 2-3 µm","Peniophora tomentella_68241_35301","basidiospores","3-4 x 2-3",3.5,2.5,NA,NA
"basidiospores ellipsoid to globose, 3-4.5 x 2.5-3.5 µm,","Grandinia muscicola_69923_12490","basidiospores","3-4.5 x 2.5-3.5",3.75,3,NA,NA
"Basidiospores subglobose to ellipsoid or broadly ovate, smooth, hyaline, negative in Melzer's reagent, 3.5-5.5 x 2.5-3.5 µm.","Grandinia muscicola_69923_44603","Basidiospores","3.5-5.5 x 2.5-3.5",4.5,3,NA,NA
"Basidiospores subglobose to broadly ellipsoid, 3-5 x 2.5-3.5 µm,","Grandinia muscicola_69923_53901","Basidiospores","3-5 x 2.5-3.5",4,3,NA,NA
"Basidiospores cylindrical to slightly allantoid, smooth-walled, hyaline, 5.0-8.0 (-8.5) x (1.5) 2.0-2.5 (-3.0) µm,","Trametes carnea_68988_2020","Basidiospores","5.0-8.0 (-8.5) x (1.5) 2.0-2.5 (-3.0)",8,2.25,NA,NA
"basidiospores ellipsoid with adaxial side, 6.5-8.5 x 4-5 µm,","Peniophora polonensis_414873_12661","basidiospores","6.5-8.5 x 4-5",7.5,4.5,NA,NA
"Basidiospores ellipsoid, variable in shape and size, usually 6.5-9(10) x 4-5 µm,","Peniophora polonensis_414873_49981","Basidiospores","6.5-9(10) x 4-5",9,4.5,NA,NA
"basidiospores  6.5--8.5(-9) µm","Tomentella rubiginosa_72054_817","basidiospores","6.5--8.5(-9)",8.5,NA,NA,NA
"basidiospores narrowly ellipsoid, 3.5-5 x 1.5-2.5 µm,","Serpula serpens_70084_12588","basidiospores","3.5-5 x 1.5-2.5",4.25,2,NA,NA
"basidiospores ellipsoid, adaxially flattened, 4.5-6 x 2.5-3 µm,","Kneiffia sanguinea_70004_11973","basidiospores","4.5-6 x 2.5-3",5.25,2.75,NA,NA
"basidiospores ellipsoid to subcylindrical, 5-6 x 2.5-3 µm,","Kneiffia sanguinea_70004_12445","basidiospores","5-6 x 2.5-3",5.5,2.75,NA,NA
"Basidiospores ellipsoid, 5.5-6(7) x 2.5-3 µm,","Kneiffia sanguinea_70004_51054","Basidiospores","5.5-6(7) x 2.5-3",6,2.75,NA,NA
"Basidiospores 4.5-6 x 1.5-2.3 µm,","Lysurus cruciatus_122170_37127","Basidiospores","4.5-6 x 1.5-2.3",5.25,1.9,NA,NA
"Basidiospores 4-4.5 x 1.5-2 µm,","Lysurus cruciatus_122170_58796","Basidiospores","4-4.5 x 1.5-2",4.25,1.75,NA,NA
"Basidiospores cylindrical to ellipsoid, (3.3-)3.8-4.0(-4.5) x (1.4-)1.7-2.2 µm,","Lysurus cruciatus_122170_65537","Basidiospores","(3.3-)3.8-4.0(-4.5) x (1.4-)1.7-2.2",3.9,1.7,NA,NA
"basidiospores  6-8(-9) µm","Hypochnus atroruber_72032_809","basidiospores","6-8(-9)",8,NA,NA,NA
"Basidiospores 7.5-8.5 µm","Hypochnus atroruber_72032_918","Basidiospores","7.5-8.5",8,NA,NA,NA
"basidiospores  (5-)6-7(-8.5) µm","Hypochnus botryoides_72034_811","basidiospores","(5-)6-7(-8.5)",6.5,NA,NA,NA
"Basidiospores 6-7 µm","Hypochnus botryoides_72034_919","Basidiospores","6-7",6.5,NA,NA,NA
"Basidiospores cylindrical, somewhat curved, 4-4.5(-5) x 1.2-1.5 µm,","Serpula aurea_70076_51125","Basidiospores","4-4.5(-5) x 1.2-1.5",4.5,1.35,NA,NA
"Basidiospores ellipsoid, hyaline. thin-walled, smooth, negative in Melzer's reagent, 2.5-3.5 x 2-3 µm,","Tyromyces semisupinus_29728_43908","Basidiospores","2.5-3.5 x 2-3",3,2.5,NA,NA
"Basidiospores (Fig. 6c) 4.8-6.0 x 2.4-3.2 µm","Lentinula cubensis_70009_7042","Basidiospores",") 4.8-6.0 x 2.4-3.2",5.4,2.8,NA,NA
"Basidiospores 5-7 µm","Hypochnus echinosporus_72170_909","Basidiospores","5-7",6,NA,NA,NA
"Microcharacters-basidiospores olivaceous-brown (4D7-4E7-5E6-5F6) in medium to heavy deposit, 17.5-22.2 x 6.4-8 µm","Boletellus ananas_150626_29341","Microcharacters-basidiospores","17.5-22.2 x 6.4-8",19.85,7.2,NA,NA
"Basidiospores cylindric, slightly curved, 9-12 x 2.5-4 µm.","Melanopus varius_70012_7490","Basidiospores","9-12 x 2.5-4",10.5,3.25,NA,NA
"Basidiospores (fig. 3 ) ovoid, with a rounded or truncate apex, pale brown in KOH, 5.5-6.8 x 8.8-9.5 µm.","Ganoderma australe_11213_4711","Basidiospores","5.5-6.8 x 8.8-9.5",6.15,9.15,NA,NA
