"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Ceratobasidium oryzae-sativae","aggregate sheath blight","aggregate_sheath_blight","blights"
"Ceratobasidium setariae","aggregate sheath blight","aggregate_sheath_blight","blights"
"Hypochnus setariae","aggregate sheath blight","aggregate_sheath_blight","blights"
"Ascochyta pisi","ascochtya blight of pea","ascochtya_blight_of_pea","blights"
"Ascochyta pisi var. fabae","ascochtya blight of pea","ascochtya_blight_of_pea","blights"
"Didymella pisi","ascochtya blight of pea","ascochtya_blight_of_pea","blights"
"Phoma koolunga","ascochyta blight","ascochyta_blight","blights"
"Alternaria multirostrata","blight","blight","blights"
"Arthrinium pseudoparenchymaticum","blight","blight","blights"
"Arthrinium yunnanum","blight","blight","blights"
"Asperisporium sequoiae","blight","blight","blights"
"Bipolaris spicifera","blight","blight","blights"
"Brachycladium spiciferum","blight","blight","blights"
"Brachysporium spiciferum","blight","blight","blights"
"Calonectria crousiana","blight","blight","blights"
"Calonectria fujianensis","blight","blight","blights"
"Cercospora cryptomeriae","blight","blight","blights"
"Cercospora sequoiae","blight","blight","blights"
"Cercospora sequojae","blight","blight","blights"
"Cercospora subulata","blight","blight","blights"
"Cercosporella subulata","blight","blight","blights"
"Cercosporidium sequoiae","blight","blight","blights"
"Cochliobolus spicifer","blight","blight","blights"
"Cochliobolus verruculosus","blight","blight","blights"
"Curvularia spicifera","blight","blight","blights"
"Curvularia verruculosa","blight","blight","blights"
"Cylindrocladium buxicola","blight","blight","blights"
"Dendryphion spiciferum","blight","blight","blights"
"Diaporthe woodii","blight","blight","blights"
"Drechslera spicifera","blight","blight","blights"
"Helminthosporium spiciferum","blight","blight","blights"
"Passalora sequoiae","blight","blight","blights"
"Pseudocochliobolus spicifer","blight","blight","blights"
"Pseudocochliobolus verruculosus","blight","blight","blights"
"Spermospora subulata","blight","blight","blights"
"Spermospora subulata f. ciliata","blight","blight","blights"
"Guignardia bispora","blight of apex,lamina of leaves","blight_of_apex lamina_of_leaves","blights"
