"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Ascochyta chrysanthemi","ray blight, black leaf blotches, stem lesions","ray_blight black_leaf_blotches stem_lesions","blights blotch_diseases stem_lesions"
"Stagonosporopsis chrysanthemi","ray blight, black leaf blotches, stem lesions","ray_blight black_leaf_blotches stem_lesions","blights blotch_diseases stem_lesions"
"Depazea nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Hendersonia nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Leptosphaeria nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Phaeosphaeria nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Septoria nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Stagonospora nodorum","glume blotch of wheat,other grasses","glume_blotch_of_wheat other_grasses","blotch_disease"
"Cymadothea trifolii","sooty blotch of clover","sooty_blotch_of_clover","blotch_disease"
"Mycosphaerella killianii","sooty blotch of clover","sooty_blotch_of_clover","blotch_disease"
"Plowrightia trifolii","sooty blotch of clover","sooty_blotch_of_clover","blotch_disease"
"Ramulispora sorghi","sooty blotch or leaf stripe","sooty_blotch_or_leaf_stripe","blotch_disease"
"Septorella sorghi","sooty blotch or leaf stripe","sooty_blotch_or_leaf_stripe","blotch_disease"
"Septoria murina","speckled leaf blotch of barley","speckled_leaf_blotch_of_barley","blotch_disease"
"Septoria passerinii","speckled leaf blotch of barley","speckled_leaf_blotch_of_barley","blotch_disease"
"Zymoseptoria passerinii","speckled leaf blotch of barley","speckled_leaf_blotch_of_barley","blotch_disease"
"Tripospermum acrobaticum","black sooty blotches","black_sooty_blotches","blotch_diseases"
"Bipolaris monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Cladosporium allii","leaf blotch","leaf_blotch","blotch_diseases"
"Cladosporium allii-cepae","leaf blotch","leaf_blotch","blotch_diseases"
"Drechslera monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Exserohilum monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Helminthosporium monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Heterosporium allii","leaf blotch","leaf_blotch","blotch_diseases"
"Heterosporium allii-cepae","leaf blotch","leaf_blotch","blotch_diseases"
"Luttrellia monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Marssonia secalis","leaf blotch","leaf_blotch","blotch_diseases"
"Marssonina secalis","leaf blotch","leaf_blotch","blotch_diseases"
"Mycosphaerella tasmaniensis","leaf blotch","leaf_blotch","blotch_diseases"
"Phyllosticta yuccae","leaf blotch","leaf_blotch","blotch_diseases"
"Ramularia alangiicola","leaf blotch","leaf_blotch","blotch_diseases"
"Rhynchosporium secalis","leaf blotch","leaf_blotch","blotch_diseases"
"Setosphaeria monoceras","leaf blotch","leaf_blotch","blotch_diseases"
"Rhynchosporium orthosporum","leaf blotch/stripe","leaf_blotch stripe","blotch_diseases"
"Ascochyta majalis","lily-of-the-valley leaf blotch","lily-of-the-valley_leaf_blotch","blotch_diseases"
"Mycosphaerella convallariae","lily-of-the-valley leaf blotch","lily-of-the-valley_leaf_blotch","blotch_diseases"
"Didymella arachidicola","net blotch, web blotch, leaf blotch.  often, complete disintegration of leaves","net_blotch web_blotch leaf_blotch.__often complete_disintegration_of_leaves","blotch_diseases"
"Didymosphaeria arachidicola","net blotch, web blotch, leaf blotch.  often, complete disintegration of leaves","net_blotch web_blotch leaf_blotch.__often complete_disintegration_of_leaves","blotch_diseases"
