"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Colletotrichum acutatum","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Colletotrichum acutatum f.sp. acutatum","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Colletotrichum acutatum f.sp. hake","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Colletotrichum acutatum f.sp. hakea","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Colletotrichum acutatum f.sp. hakeae","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Colletotrichum acutatum var. fioriniae","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Glomerella acutata var. fioriniae","anthracnose, canker, leaf spot, shepherd's crook, fruit rot, seedling damping off,blight, cutting dieback","anthracnose canker leaf_spots shepherd's_crook fruit_rot seedling_damping_off blight cutting_dieback","anthracnose cankers leaf_spots fruit_rot damping-off blights dieback"
"Depazea brassicicola","black leg, canker, dry rot, leaf spot","black_leg canker dry_rot leaf_spots","blackleg cankers rots leaf_spots"
"Leptosphaeria maculans","black leg, canker, dry rot, leaf spot","black_leg canker dry_rot leaf_spots","blackleg cankers rots leaf_spots"
"Coniothyrium fuckelii","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Diapleella coniothyrium","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Kalmusia coniothyrium","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Leptosphaeria coniothyrium","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Melanomma coniothyrium","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Microsphaeropsis fuckelii","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Sphaeria coniothyrium","cane and/or stem blight,canker. wound parasite.  air, soil,,water-borne","cane_and or_stem_blight canker._wound_parasite.__air soil  water-borne","blights cankers"
"Calonectria morganii","blight, cankers, damping off, leaf spot, rots","blight cankers damping_off leaf_spots rots","blights cankers damping-off leaf_spots rots"
"Cylindrocladium pithecolobii","blight, cankers, damping off, leaf spot, rots","blight cankers damping_off leaf_spots rots","blights cankers damping-off leaf_spots rots"
"Cylindrocladium scoparium","blight, cankers, damping off, leaf spot, rots","blight cankers damping_off leaf_spots rots","blights cankers damping-off leaf_spots rots"
"Cylindrocladium scoparium var. brasiliense","blight, cankers, damping off, leaf spot, rots","blight cankers damping_off leaf_spots rots","blights cankers damping-off leaf_spots rots"
"Cylindrocladium scoparium var. brasiliensis","blight, cankers, damping off, leaf spot, rots","blight cankers damping_off leaf_spots rots","blights cankers damping-off leaf_spots rots"
"Fusarium lateritium","blight, canker, dieback, stem rot","blight canker dieback stem_rot","blights cankers dieback rots"
"Fusarium lateritium var. stilboides","blight, canker, dieback, stem rot","blight canker dieback stem_rot","blights cankers dieback rots"
