"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Pleospora betae","black leg, damping-off of seedlings, root rot, storage rot,  leaf spot","black_leg damping-off_of_seedlings root_rot storage_rot leaf_spots","blackleg damping-off rots leaf_spots"
"Pleospora bjoerlingii","black leg, damping-off of seedlings, root rot, storage rot,  leaf spot","black_leg damping-off_of_seedlings root_rot storage_rot leaf_spots","blackleg damping-off rots leaf_spots"
"Phoma eupyrena","damping off of seedlings","damping_off_of_seedlings","damping-off"
"Calonectria leguminum","damping-off, leaf spot","damping-off leaf_spots","damping-off leaf_spots"
"Calonectria quinqueseptata","damping-off, leaf spot","damping-off leaf_spots","damping-off leaf_spots"
"Cylindrocladium leguminum","damping-off, leaf spot","damping-off leaf_spots","damping-off leaf_spots"
"Nectria leguminum","damping-off, leaf spot","damping-off leaf_spots","damping-off leaf_spots"
"Acrothecium carotae","black spots of stored carrots, damping off of seedlings","black_spots_of_stored_carrots damping_off_of_seedlings","post_harvest_disease damping-off"
"Pseudocercosporidium carotae","black spots of stored carrots, damping off of seedlings","black_spots_of_stored_carrots damping_off_of_seedlings","post_harvest_disease damping-off"
"Rhexocercosporidium carotae","black spots of stored carrots, damping off of seedlings","black_spots_of_stored_carrots damping_off_of_seedlings","post_harvest_disease damping-off"
"Fusarium stilboides","bark disease, collar rot, damping off","bark_disease collar_rot damping_off","rots damping-off"
"Fusarium neocosmosporiellum","fruit,root rot, seedling damping-off","fruit root_rot seedling_damping-off","rots damping-off"
"Neocosmospora vasinfecta","fruit,root rot, seedling damping-off","fruit root_rot seedling_damping-off","rots damping-off"
"Hypochnus cucumeris","root rot, damping off of seedlings, leaf,fruit rot","root_rot damping_off_of_seedlings leaf_rot fruit_rot","rots damping-off"
"Alternaria radicina","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Alternaria radicina var. petroselini","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Pseudostemphylium radicinum","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Stemphylium radicinum","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Stemphylium radicinum var. petroselini","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Thyrospora radicina","semi-dry crown,root rot, damping-off","semi-dry_crown root_rot damping-off","rots damping-off"
"Fusarium redolens","vascular wilts, crown rot, damping-off","vascular_wilts crown_rot damping-off","wilts rots damping-off"
