Species,spore_type,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Abundisporus_fuscopurpureus,Meiospores,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,0.31075865699864064,0.3010299956639812,19,683,22.81624271067959,2818.8675438596497,117.46329746530805,42.33039649827835,20157.749999999996,2.105710530594776,625.4028035327846,3.5672368069285496,559.3351312841828,115.1225255133717,24.25469682325245,2203.355997390022,0.5372321707304997,7629963.521600767,0.38149817608003833,1225776314190.3972,0.008264069105823639
Abundisporus_pubertatis,Meiospores,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,1.3016300618001266,0.15126767533064914,19,656.2631578947369,6.772149139387829,1107.6552631578948,1122.0999002285398,96.33891930673572,20432.281578947368,0.28002631585849014,175.34532345101294,5.056771065339253,602.2264074283803,318.6757887296732,14.086502303426537,1165.2412162307526,0.4512602888421427,6868546.347801537,0.34342731739007687,367914513757.939,0.0024804451934113975
Acanthobasidium_delicatum,Meiospores,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,2.615249184772128,0.27106677228653797,1,614,11.6319444254041,1428.33333333333,398.548101628321,23.0627327665436,24638.8333333333,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthobasidium_penicillatum,Meiospores,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,3.4136038212440587,0.10424239402918742,1,77,26.3250000476837,2622.25,69.995735320361,62.2125120105559,22562.25,2.6049998998642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthophysellum_lividocoeruleum,Meiospores,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,1.6821959744027415,0.3010299956639812,3,744.6666666666666,11.2829861122701,1180.4833333333333,573.7227725581515,41.120626401534636,21719.5,1.0580555217133645,534.9339523093794,13.049320957040623,1118.7029099959173,432.29945128952755,18.924757111284986,833.5503883989257,1.3288680837894686,6115498.640804356,0.3057749320402178,78841440489.51001,5.315416076042635e-4
Acaulium_acremonium,Mitospores,Ascomycota,Sordariomycetes,Microascales,NA,NA,NA,NA,2.241116686457203,0.3010299956639812,137,229.7080291970803,13.20886508220402,620.6658150851581,1016.1616567085567,97.53021349255158,22253.03686131387,0.32142700640770216,789.9365588877444,3.6155043931723125,157.6890116938771,86.21518615804393,19.657405979543967,1357.6274305453755,0.08302197960300868,9457674.750731885,0.4728837375365943,2171646162422.4893,0.01464103503379373
Acaulospora_alpina,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,5.344182412485591,0,4,2023,3.0250000061312052,852.375,565.5658898759838,32.13989676190605,21197.575,0.2800416705509025,129.12268068262318,0.8167641228065634,83.91203231162183,9.969303780000265,0.8642936888668914,410.91620789088273,0.01644878536731034,30286.630655131532,0.0015143315327565765,363239720.3539081,2.4489281741158532e-6
Acaulospora_brasiliensis,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,5.403607592546248,0,49,1795.1020408163265,4.829171158538605,991.1099773242631,573.3090113418311,32.652333139345295,22494.65912698413,0.40086394710098805,820.6519066393182,5.051663869123676,304.91967855120816,189.03647782683163,14.655987486339317,2168.77946991887,0.3292165063815088,16633122.123889036,0.8316561061944518,26182614598921.715,0.17652073539987398
Acaulospora_cavernata,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,6.157382729345204,0,2,509.5,6.247812510390455,1075.9875,742.297434692143,28.874309207116152,20139.3875,0.390000009536743,645.5884912233179,1.2534940213861256,649.99023093620406,157.08404680088955,8.390094841536387,73.52142757387026,0.08485280868476344,NA,NA,NA,NA
Acaulospora_colossica,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,7.0558112321312825,0,8,592.125,11.63062499931354,975.85,418.95259066196775,25.32277976380555,25143.61875,0.7813749950379132,439.27617004730473,2.5117390346087536,369.16450649695844,82.83801457800297,11.175243433323653,1484.3522211334914,0.1506938141155688,1104429.944148813,0.05522149720744064,176125526164.9805,0.0011874218017406284
Acaulospora_lacunosa,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,6.070812509277783,0,5,99.4,19.32333340644838,1172.15,674.8188442493732,20.7754979821261,23801.2,0.8519999980926508,30.41052449399714,0.6368134607848849,102.63552016724034,72.53624917580319,13.762060683265563,362.9138327482159,0.09391484545882668,NA,NA,NA,NA
Acaulospora_laevis,Azygospores,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,6.8658375394095374,0.18328683519210487,30,439,11.618062545691298,991.5022222222223,362.0706871708162,27.518117608831716,24143.532222222224,0.8368444407482944,659.888026029077,3.7684979806917056,268.0139823700422,109.96209880781522,10.978435670098172,1272.9107601829485,0.2099014313083219,16749914.941528695,0.8374957470764347,277702212887.1823,0.0018722423100952109
