"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Acarocybellina arengae","black mildew","black_mildew","black_mildew"
"Amazonia atlantiicola","black mildew","black_mildew","black_mildew"
"Amazonia symploci","black mildew","black_mildew","black_mildew"
"Asteridiella fagraeae","black mildew","black_mildew","black_mildew"
"Asteridiella hydnocarpigena","black mildew","black_mildew","black_mildew"
"Asteridiella phukanea","black mildew","black_mildew","black_mildew"
"Asteridiella premnigena","black mildew","black_mildew","black_mildew"
"Asteridiella solani var. kodaikanalensis","black mildew","black_mildew","black_mildew"
"Asteridiella tragiae","black mildew","black_mildew","black_mildew"
"Asteridiella xyliae","black mildew","black_mildew","black_mildew"
"Asterina camelliae","black mildew","black_mildew","black_mildew"
"Asterina enicostemmatis","black mildew","black_mildew","black_mildew"
"Asterina psychotriicola","black mildew","black_mildew","black_mildew"
"Asterina schimae","black mildew","black_mildew","black_mildew"
"Asterina scleropyri","black mildew","black_mildew","black_mildew"
"Asterina tragiae","black mildew","black_mildew","black_mildew"
"Asterina xyliae","black mildew","black_mildew","black_mildew"
"Asterina ziziphi","black mildew","black_mildew","black_mildew"
"Balladyna salaciae","black mildew","black_mildew","black_mildew"
"Brachysporiella arengae","black mildew","black_mildew","black_mildew"
"Cirsosia humboldtigena","black mildew","black_mildew","black_mildew"
"Clypeolella cryptolepidis","black mildew","black_mildew","black_mildew"
"Clypeolella solani","black mildew","black_mildew","black_mildew"
"Clypeolella tectonae","black mildew","black_mildew","black_mildew"
"Clypeolella triumfetticola","black mildew","black_mildew","black_mildew"
"Irenopsis loranthicola","black mildew","black_mildew","black_mildew"
"Irenopsis trichiliae","black mildew","black_mildew","black_mildew"
"Irenopsis walsurae","black mildew","black_mildew","black_mildew"
"Irenopsis xeromphidis","black mildew","black_mildew","black_mildew"
"Lembosia humboldtiicola","black mildew","black_mildew","black_mildew"
"Lembosia humboldtiigena","black mildew","black_mildew","black_mildew"
"Lembosia salaciae","black mildew","black_mildew","black_mildew"
"Maheshwaramyces pachygones","black mildew","black_mildew","black_mildew"
"Meliola abdulkalamii","black mildew","black_mildew","black_mildew"
"Meliola abri","black mildew","black_mildew","black_mildew"
"Meliola ailanthicola","black mildew","black_mildew","black_mildew"
"Meliola canavaliae","black mildew","black_mildew","black_mildew"
"Meliola celastrigena","black mildew","black_mildew","black_mildew"
"Meliola dioscoreacearum","black mildew","black_mildew","black_mildew"
"Meliola dioscoregena","black mildew","black_mildew","black_mildew"
"Meliola dysoxyligena","black mildew","black_mildew","black_mildew"
"Meliola glochidiifolia","black mildew","black_mildew","black_mildew"
"Meliola goniothalamigena","black mildew","black_mildew","black_mildew"
"Meliola jasminigena","black mildew","black_mildew","black_mildew"
"Meliola kamettiae","black mildew","black_mildew","black_mildew"
"Meliola meghalayensis","black mildew","black_mildew","black_mildew"
"Meliola mucunicola","black mildew","black_mildew","black_mildew"
"Meliola phyllanthigena","black mildew","black_mildew","black_mildew"
"Meliola premnigena","black mildew","black_mildew","black_mildew"
"Meliola psophocarpi","black mildew","black_mildew","black_mildew"
"Meliola pygeicola","black mildew","black_mildew","black_mildew"
"Meliola shillongensis","black mildew","black_mildew","black_mildew"
"Meliola thailandicum","black mildew","black_mildew","black_mildew"
"Meliola tragiae","black mildew","black_mildew","black_mildew"
"Meliola vatsavayai","black mildew","black_mildew","black_mildew"
"Meliola vazhachalensis","black mildew","black_mildew","black_mildew"
"Meliolaster aporusae","black mildew","black_mildew","black_mildew"
"Prillieuxina diospyri","black mildew","black_mildew","black_mildew"
"Prillieuxina ixorigena","black mildew","black_mildew","black_mildew"
"Questieriella ardisiae","black mildew","black_mildew","black_mildew"
"Questieriella grewiae","black mildew","black_mildew","black_mildew"
"Questieriella malloti","black mildew","black_mildew","black_mildew"
"Questieriella passiflorae","black mildew","black_mildew","black_mildew"
"Questieriella rhamni","black mildew","black_mildew","black_mildew"
"Questieriella sarcococcae","black mildew","black_mildew","black_mildew"
"Questieriella strychni","black mildew","black_mildew","black_mildew"
"Questieriella tephrosiae","black mildew","black_mildew","black_mildew"
"Questieriella toddaliae","black mildew","black_mildew","black_mildew"
"Questieriella zanthoxyli","black mildew","black_mildew","black_mildew"
"Sarcinella allophyli","black mildew","black_mildew","black_mildew"
"Sarcinella asiatica","black mildew","black_mildew","black_mildew"
"Sarcinella bignoniacearum","black mildew","black_mildew","black_mildew"
"Sarcinella cassiae","black mildew","black_mildew","black_mildew"
"Sarcinella castanopsidis","black mildew","black_mildew","black_mildew"
"Sarcinella cipadessae","black mildew","black_mildew","black_mildew"
"Sarcinella colebrookiae","black mildew","black_mildew","black_mildew"
"Sarcinella colebrookiana","black mildew","black_mildew","black_mildew"
"Sarcinella dalbergiae","black mildew","black_mildew","black_mildew"
"Sarcinella glycosmidis","black mildew","black_mildew","black_mildew"
"Sarcinella gmelinae","black mildew","black_mildew","black_mildew"
"Sarcinella gorakhpurensis","black mildew","black_mildew","black_mildew"
"Sarcinella hughesii","black mildew","black_mildew","black_mildew"
