"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Xylaria hongkongensis","branch dieback, leaf discoloration, trunk,basal rot","branch_dieback leaf_discoloration trunk basal_rot","dieback rots"
"Coniella diplodiella","dieback, white rot","dieback white_rot","dieback rots"
"Coniothyrium diplodiella","dieback, white rot","dieback white_rot","dieback rots"
"Phoma diplodiella","dieback, white rot","dieback white_rot","dieback rots"
"Agaricus alneus","brown dieback, trunk rot, leaf drop; infecting host through wounds.  more often saprobic","brown_dieback trunk_rot leaf_drop _infecting_host_through_wounds.__more_often_saprobic","dieback rots defoliation saprobic"
"Apus alneus","brown dieback, trunk rot, leaf drop; infecting host through wounds.  more often saprobic","brown_dieback trunk_rot leaf_drop _infecting_host_through_wounds.__more_often_saprobic","dieback rots defoliation saprobic"
"Merulius alneus","brown dieback, trunk rot, leaf drop; infecting host through wounds.  more often saprobic","brown_dieback trunk_rot leaf_drop _infecting_host_through_wounds.__more_often_saprobic","dieback rots defoliation saprobic"
"Schizophyllum alneum","brown dieback, trunk rot, leaf drop; infecting host through wounds.  more often saprobic","brown_dieback trunk_rot leaf_drop _infecting_host_through_wounds.__more_often_saprobic","dieback rots defoliation saprobic"
"Fusarium acuminatum","leaf tip dieback, light brown lesions, root rot","leaf_tip_dieback light_brown_lesions root_rot","dieback rots lesions"
"Trichoderma viride","dieback, root rot, post harvest fruit rot","dieback root_rot post_harvest_fruit_rot","dieback rots post_harvest_disease"
"Boletus versicolor","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Coriolus versicolor","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Polyporus versicolor","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Polyporus versicolor var. ochraceus","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Polyporus versicolor var. zonatus","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Polystictus versicolor","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Trametes versicolor","commonly saprobic; also opportunistically pathogenic, causing papery bark, weak bud unions, dieback,white rot","commonly_saprobic _also_opportunistically_pathogenic causing_papery_bark weak_bud_unions dieback white_rot","dieback rots saprobic"
"Bionectria ochroleuca","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Clonostachys rosea","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Clonostachys rosea f. catenulata","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Creonectria ochroleuca","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Cucurbitaria ochroleuca","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Gliocladium roseum","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Nectria ochroleuca","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Sphaeria ochroleuca","dieback, pod rot, crown,root rot, saprobic,endophytic","dieback pod_rot crown root_rot saprobic endophytic","dieback rots saprobic endophytic"
"Alternaria carotiincultae","leaf,root lesions, seed decay","leaf root_lesions seed_decay","leaf_lesions root_lesions rots"
"Alternaria protenta","leaf,stem lesions, fruit rot","leaf_rot stem_lesions fruit_rot","leaf_lesions stem_lesions rots"
"Alternaria pulcherrimae","leaf,stem lesions, fruit rot","leaf_rot stem_lesions fruit_rot","leaf_lesions stem_lesions rots"
"Calonectria clavata","leaf spot, stem lesions, root rot","leaf_spots stem_lesions root_rot","leaf_spot stem_lesions rots"
"Alfaria cyperi-esculenti","leaf tip dieback, tuber rot; also saprobic","leaf_tip_dieback tuber_rot _also_saprobic","leaf_spots dieback rots saprobic"
"Colletotrichum theobromicola","leaf,fruit spot, crown rot, stolon lesions, fruit rot, stem girdling","leaf_spots fruit_spot crown_rot stolon_lesions fruit_rot stem_girdling","leaf_spots fruit_spots rots stolon_lesions"
"Phacidiopycnis washingtonensis","leaf necrosis, leaf spot, rubbery rot of fruit","leaf_necrosis leaf_spots rubbery_rot_of_fruit","leaf_spots rots"
"Aspergillus tubingensis","leaf spot, bunch rot","leaf_spots bunch_rot","leaf_spots rots"
"Septoria gladioli","leaf spot, corm rot","leaf_spots corm_rot","leaf_spots rots"
"Bipolaris sacchari","leaf spot, crown rot of bananna","leaf_spots crown_rot_of_bananna","leaf_spots rots"
"Drechslera sacchari","leaf spot, crown rot of bananna","leaf_spots crown_rot_of_bananna","leaf_spots rots"
"Helminthosporium sacchari","leaf spot, crown rot of bananna","leaf_spots crown_rot_of_bananna","leaf_spots rots"
"Calonectria scoparia","leaf spot, cutting,root rot","leaf_spots cutting root_rot","leaf_spots rots"
"Neophysalospora eucalypti","leaf spot, cutting rot","leaf_spots cutting_rot","leaf_spots rots"
"Broomella acuta","leaf spot, fruit rot","leaf_spots fruit_rot","leaf_spots rots"
"Pestalotia truncata","leaf spot, fruit rot","leaf_spots fruit_rot","leaf_spots rots"
"Truncatella truncata","leaf spot, fruit rot","leaf_spots fruit_rot","leaf_spots rots"
"Phoma vexans","leaf spot, fruit rot, tip over disease of egglant","leaf_spots fruit_rot tip_over_disease_of_egglant","leaf_spots rots"
"Phomopsis vexans","leaf spot, fruit rot, tip over disease of egglant","leaf_spots fruit_rot tip_over_disease_of_egglant","leaf_spots rots"
