"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Dicaeoma areolatum","autoecious rust","rusts","rusts"
"Dicaeoma asparagi","autoecious rust","rusts","rusts"
"Dicaeoma sherardianum","autoecious rust","rusts","rusts"
"Micropuccinia sherardiana","autoecious rust","rusts","rusts"
"Nigredo dolicholi","autoecious rust","rusts","rusts"
"Persooniella asparagi","autoecious rust","rusts","rusts"
"Phragmidium mucronatum","autoecious rust","rusts","rusts"
"Puccinia allii","autoecious rust","rusts","rusts"
"Puccinia apii","autoecious rust","rusts","rusts"
"Puccinia areolata","autoecious rust","rusts","rusts"
"Puccinia asparagi","autoecious rust","rusts","rusts"
"Puccinia bullata","autoecious rust","rusts","rusts"
"Puccinia gemella","autoecious rust","rusts","rusts"
"Puccinia mucronata","autoecious rust","rusts","rusts"
"Puccinia pulsatillae","autoecious rust","rusts","rusts"
"Puccinia sherardiana","autoecious rust","rusts","rusts"
"Puccinia treleasiana","autoecious rust","rusts","rusts"
"Puccinia ustalis","autoecious rust","rusts","rusts"
"Puccinia xanthii","autoecious rust","rusts","rusts"
"Uromyces dolicholi","autoecious rust","rusts","rusts"
"Bullaria psidii","autoecious rust; may cause severe defoliation.  urediospores may be disseminated by rain","rusts","rusts"
"Puccinia psidii","autoecious rust; may cause severe defoliation.  urediospores may be disseminated by rain","rusts","rusts"
"Goplana dioscoreae-alatae","autoecious rust.  listed by aphis as a regulated plant pest","rusts","rusts"
"Uredo dioscoreae-alatae","autoecious rust.  listed by aphis as a regulated plant pest","rusts","rusts"
"Puccinia horiana","autoecious rust. listed by usda aphis as a regulated plant pest","rusts","rusts"
"Lycoperdon caryophyllinum","carnation rust","rusts","rusts"
"Nigredo caryophyllina","carnation rust","rusts","rusts"
"Uredo dianthi","carnation rust","rusts","rusts"
"Uromyces caryophyllinus","carnation rust","rusts","rusts"
"Uromyces dianthi","carnation rust","rusts","rusts"
"Melampsora lini","flax rust","rusts","rusts"
"Uromycladium falcatariae","gall rust","rusts","rusts"
"Uromycladium falcatarium","gall rust","rusts","rusts"
"Puccinia pygmaea var. angusta","heterecious rust","rusts","rusts"
"Pucciniastrum americanum","heterecious rust","rusts","rusts"
"Uromyces acuminatus","heterecious rust","rusts","rusts"
"Dicaeoma iridis","heteroecious rust","rusts","rusts"
"Gymnosporangium asiaticum","heteroecious rust","rusts","rusts"
"Gymnosporangium yamadae","heteroecious rust","rusts","rusts"
"Puccinia cacabata","heteroecious rust","rusts","rusts"
"Puccinia caricina var. limosae","heteroecious rust","rusts","rusts"
"Puccinia caricis","heteroecious rust","rusts","rusts"
"Puccinia cynodontis","heteroecious rust","rusts","rusts"
"Puccinia iridis","heteroecious rust","rusts","rusts"
"Puccinia substriata var. indica","heteroecious rust","rusts","rusts"
"Puccinia substriata var. penicillariae","heteroecious rust","rusts","rusts"
"Puccinia urticata var. urticata","heteroecious rust","rusts","rusts"
"Trichobasis iridis","heteroecious rust","rusts","rusts"
"Gymnosporangium juniperi-virginianae","heteroecious rust.  cedar-apple rust","rusts","rusts"
"Podisoma juniperi-virginianae","heteroecious rust.  cedar-apple rust","rusts","rusts"
"Melampsora larici-populina","larch-poplar rust","rusts","rusts"
"Tranzschelia pseudofusca","microcyclic rust","rusts","rusts"
"Hemileia vastatrix","monoecious rust. the most serious disease of coffee, of worldwide significance (laundon 1964)","rusts","rusts"
"Melampsora medusae","needle rust","rusts","rusts"
"Uredo medusae","needle rust","rusts","rusts"
"Puccinia discolor","peach rust; rust of stone fruit. rust of florists' anemone","rusts","rusts"
"Tranzschelia discolor","peach rust; rust of stone fruit. rust of florists' anemone","rusts","rusts"
"Aecidium nitens","rust","rusts","rusts"
"Angiopsora ampelopsidis","rust","rusts","rusts"
"Caeoma absinthii","rust","rusts","rusts"
"Caeoma nitens","rust","rusts","rusts"
"Cerotelium fici","rust","rusts","rusts"
"Chrysomyxa dietelii","rust","rusts","rusts"
"Chrysomyxa succinea","rust","rusts","rusts"
"Chrysomyxa weirii","rust","rusts","rusts"
"Coleosporium zhuangii","rust","rusts","rusts"
