"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Aureobasidium caulivorum","clover scorch","clover_scorch","leaf_scorch"
"Exobasidiopsis caulivora","clover scorch","clover_scorch","leaf_scorch"
"Gloeosporium caulivorum","clover scorch","clover_scorch","leaf_scorch"
"Kabatiella caulivora","clover scorch","clover_scorch","leaf_scorch"
"Diplocarpon earlianum","leaf scorch","leaf_scorch","leaf_scorch"
"Fabraea earliana","leaf scorch","leaf_scorch","leaf_scorch"
"Peziza earliana","leaf scorch","leaf_scorch","leaf_scorch"
"Setophoma cyperi","leaf scorch","leaf_scorch","leaf_scorch"
"Septoria rosae","leaf scorch,spot","leaf_scorch spot","leaf_scorch leaf_spots"
"Didymella exitialis","leaf spot; leaf scorch","leaf_spots _leaf_scorch","leaf_spots leaf_scorch"
"Mycosphaerella exitialis","leaf spot; leaf scorch","leaf_spots _leaf_scorch","leaf_spots leaf_scorch"
"Sphaerella exitialis","leaf spot; leaf scorch","leaf_spots _leaf_scorch","leaf_spots leaf_scorch"
