"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Anthracoidea yunnanensis","smut","smuts","smuts"
"Aurantiosporium pallidum","smut","smuts","smuts"
"Conidiosporomyces ayresii","smut","smuts","smuts"
"Doassansia deformans","smut","smuts","smuts"
"Doassansiopsis deformans","smut","smuts","smuts"
"Entyloma arnicale","smut","smuts","smuts"
"Entyloma calendulae","smut","smuts","smuts"
"Entyloma calendulae f. dahliae","smut","smuts","smuts"
"Entyloma compositarum var. guaraniticum","smut","smuts","smuts"
"Entyloma dahliae","smut","smuts","smuts"
"Entyloma endogenum","smut","smuts","smuts"
"Entyloma fergussonii var. serotinum","smut","smuts","smuts"
"Entyloma ficariae","smut","smuts","smuts"
"Entyloma fuscum","smut","smuts","smuts"
"Entyloma guaraniticum","smut","smuts","smuts"
"Entyloma helianthi","smut","smuts","smuts"
"Entyloma serotinum","smut","smuts","smuts"
"Entyloma serotinum f. serotinum","smut","smuts","smuts"
"Entylomella aricola","smut","smuts","smuts"
"Entylomella arnicalis","smut","smuts","smuts"
"Floromyces anemarrhenae","smut","smuts","smuts"
"Kuntzeomyces ruizianae","smut","smuts","smuts"
"Melanotaenium endogenum","smut","smuts","smuts"
"Microbotryum adenopetalae","smut","smuts","smuts"
"Microbotryum chloranthae-verrucosum","smut","smuts","smuts"
"Microbotryum minuartiae","smut","smuts","smuts"
"Microbotryum saponariae","smut","smuts","smuts"
"Microbotryum silenes-acaulis","smut","smuts","smuts"
"Microbotryum silenes-saxifragae","smut","smuts","smuts"
"Moreaua bulbostylidis","smut","smuts","smuts"
"Ovularia aricola","smut","smuts","smuts"
"Physoderma endogenum","smut","smuts","smuts"
"Protomyces calendulae","smut","smuts","smuts"
"Protomyces endogenus","smut","smuts","smuts"
"Protomyces galii","smut","smuts","smuts"
"Salmacisia buchloeana","smut","smuts","smuts"
"Salmacisia buchloëana","smut","smuts","smuts"
"Thecaphora amaranthicola","smut","smuts","smuts"
"Thecaphora anemarrhenae","smut","smuts","smuts"
"Thecaphora smallanthi","smut","smuts","smuts"
"Thecaphora ulicis","smut","smuts","smuts"
"Tilletia ayresii","smut","smuts","smuts"
"Tilletia boliviana","smut","smuts","smuts"
"Tilletia buchloeana","smut","smuts","smuts"
"Tilletia buchloëana","smut","smuts","smuts"
"Tilletia puccinelliae","smut","smuts","smuts"
"Tilletia vankyi","smut","smuts","smuts"
"Ustilago shiraiana","smut","smuts","smuts"
"Pseudozyma prolifica","smut. corn smut","smuts","smuts"
"Entyloma australe","white smut","smuts","smuts"
