"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"sporangiospores ellipsoidal, sometimes slightly flattened at one side, 11.5-16.2 x [p. 27] 6.8-8.4 µm,","Mucor oblongisporus_16406_15793","sporangiospores",". 27] 6.8-8.4 µ","13.85","7.6",NA,NA
"Sporangiospores.-Elliptical or polygonal; faintly striated; 5-9( in length. Chlamydospores.-Usually absent on stolons; analogous organs rarely formed, granular texture and globose (16-26 µm","Rhizopus niveus_58710_229","Sporangiospores.-Elliptical","(16-26 µ","21",NA,NA,NA
"sporangiospores globose, or broad oval, mostly the former, smooth or with rounded projections, 6-12 µm","Mucor petrinsularis_16413_45956","sporangiospores","6-12 µ","9",NA,NA,NA
"Sporangiospores.-Globose or polygonal; faintly striated; 3-7 µm","Rhizopus pseudochinensis_36413_227","Sporangiospores.-Globose","; 3-7 µ","5",NA,NA,NA
"Sporangiospores cylindrical, smooth, pale olive green, (2.6-)3.0-5.5 x 2.0-3.5 µm.","Tieghemella spinosa_203232_52496","Sporangiospores","(2.6-)3.0-5.5 x 2.0-3.5 µ","3","2.75",NA,NA
"Sporangiospores hyaline, globoid, or more or less angular (3.5-6.0 µm","Kuzuhaea moniliformis_30560_165","Sporangiospores","(3.5-6.0 µ","4.75",NA,NA,NA
"sporangiospores, cylindrical to obovoid, (10-)12-14(-15) x (5-)6-6.5(-7.5), av. 12.5 x 6 µm,","Benjaminiella multispora_33004_176","sporangiospores,",". 12.5 x 6 µ","12.5","6",NA,NA
"Sporangiospores smooth, thin-walled, more or less globose to broadly ellipsoid or irregular, (3-)3.5-4(-6) x (2.5-)3-4(-4.5), av. 3.7 x 3.2 µm.","Benjaminiella multispora_33004_176","Sporangiospores",". 3.7 x 3.2 µ","3.7","3.2",NA,NA
"Sporangiospores of similar size and shape to the sporangiola. Substrate hyphae branched, non-septate at first, becoming irregularly septate; giving rise to hyaline, globose, yeast-1ike budding cells up to 50 µm","Mycotypha indica_40132_178","Sporangiospores","50 µ","50",NA,NA,NA
"sporangiospores hyaline, globose, ovoid or ellipsoid, 4-7 µm","Rhizopus azygosporus_45028_237","sporangiospores","4-7 µ","5.5",NA,NA,NA
"Sporangiospores ellipsoid to broadly ellipsoid, pale olivaceous brown, longitudinally striate, (5-) 7-12 (-14) µm","Poitrasia circinans_5132_412","Sporangiospores","(5-) 7-12 (-14) µ","9.5",NA,NA,NA
"sporangiospores  very irregular in shape, roughly oval, with striations visible at high magnifications, smoothwalled, hyaline, with 6 or more stiss appendages from either end up to 16.5 µm","Poitrasia circinans_5132_429","sporangiospores","16.5 µ","16.5",NA,NA,NA
"sporangiospores 4.5-7.5 x 7-13.5 µm","Poitrasia circinans_5132_429","sporangiospores","4.5-7.5 x 7-13.5 µ","6","10.25",NA,NA
"sporangiospores in situ. Zygospores biconical, 36-43 x 7-10 µm,","Simuliomyces spica_128695_19011","sporangiospores","36-43 x 7-10 µ","39.5","8.5",NA,NA
"sporangiospores smooth, globose, thin-walled, greyish in mass, 5.5-7 µm.","Macbrideola indica_181946_23164","sporangiospores","5.5-7 µ","6.25",NA,NA,NA
"Sporangiospores doliiform, distinctly verruculose in centre of the polar surfaces and a circular band laterally, subhyaline, grey in mass, (5.5) 6.5-7 (8) µm","Utharomyces epallocaulus_131212_23410","Sporangiospores","(5.5) 6.5-7 (8) µ","6.75",NA,NA,NA
"Sporangiospores smooth, hyaline, yellowish in mass. Merosporangial wall persistent, surrounding the spore or spores in part and forming a rugulose envelope. Ampulla and spores immersed in a liquid droplet at maturity. Zygospores globoid or slightly ovoid, 19-30 µm","Syncephalis hypogena_30717_23155","Sporangiospores","19-30 µ","24.5",NA,NA,NA
"Sporangiospores alike from sporangia and sporangiola, ellipsoid or oblong, hyaline, smooth-walled, 6.9-3.4-5.7 µm","Fennellomyces gigacellularis_58724_275","Sporangiospores","6.9-3.4-5.7 µ","3.4",NA,NA,NA
"Sporangiospores alike from sporangia and sporangiola, oblong or ellipsoid, less commonly ovoid or reniform, smooth, 4-12 x 2-8 µm","Fennellomyces verticillatus_58725_276","Sporangiospores","4-12 x 2-8 µ","8","5",NA,NA
"sporangiospores ellipsoidal, 3-6(-7.5) x 2.4-4(-5) µm.","Mucor faisalabadensis_31162_274","sporangiospores","3-6(-7.5) x 2.4-4(-5) µ","6","4",NA,NA
"sporangiospores were up to 4 x 8 µm,","Mucor faisalabadensis_31162_274","sporangiospores","4 x 8 µ","4","8",NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Mycocladus corymbiferus_162922_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
