"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Diplocarpon rosae","black spot of roses","black_spot_of_roses","blackspot"
"Calonectria avesiculata","defoliation, leaf spot, twig dieback","defoliation leaf_spots twig_dieback","defoliations leaf_spots dieback"
"Alternaria gaurae","dieback, leaf,fruit spots","dieback leaf_spots fruit_spots","dieback leaf_spots fruit_spots"
"Alternaria hawaiiensis","dieback, leaf,fruit spots","dieback leaf_spots fruit_spots","dieback leaf_spots fruit_spots"
"Alternaria passiflorae","dieback, leaf,fruit spots","dieback leaf_spots fruit_spots","dieback leaf_spots fruit_spots"
"Alternaria tropica","fruit spot","fruit_spot","fruit_spots"
"Phyllosticta citrimaxima","fruit spot","fruit_spot","fruit_spots"
"Zasmidium fructicola","fruit spot","fruit_spot","fruit_spots"
"Zasmidium fructigenum","fruit spot","fruit_spot","fruit_spots"
"Alternaria tomato","nailhead spot of fruit","nailhead_spot_of_fruit","fruit_spots"
"Macrosporium tomato","nailhead spot of fruit","nailhead_spot_of_fruit","fruit_spots"
"Cercospora mamaonis","black spot of papaya, leaf spot","black_spot_of_papaya leaf_spots","fruit_spots leaf_spots"
"Cercospora papayae","black spot of papaya, leaf spot","black_spot_of_papaya leaf_spots","fruit_spots leaf_spots"
"Pseudocercospora mamaonis","black spot of papaya, leaf spot","black_spot_of_papaya leaf_spots","fruit_spots leaf_spots"
"Cycloconium oleagineum","peacock spot/olive scab","peacock_spot olive_scab","fruit_spots scab"
"Fusicladium oleagineum","peacock spot/olive scab","peacock_spot olive_scab","fruit_spots scab"
"Spilocaea oleaginea","peacock spot/olive scab","peacock_spot olive_scab","fruit_spots scab"
"Exobasidium maculosum","fruit spot, leaf spot","fruit_spot leaf_spots","fruits_spots leaf_spots"
"Septoria rosae","leaf scorch,spot","leaf_scorch spot","leaf_scorch leaf_spots"
"Alternaria longipes","black,brown leaf spot","black brown_leaf_spots","leaf_spot"
"Macrosporium longipes","black,brown leaf spot","black brown_leaf_spots","leaf_spot"
"Cercospora musae","yellow sigatoka disease of banana","yellow_sigatoka_disease_of_banana","leaf_spot"
"Mycosphaerella musicola","yellow sigatoka disease of banana","yellow_sigatoka_disease_of_banana","leaf_spot"
"Pseudocercospora musae","yellow sigatoka disease of banana","yellow_sigatoka_disease_of_banana","leaf_spot"
"Gloeocercospora sorghi","zonate leaf spot or copper spot of grasses","zonate_leaf_spots_or_copper_spot_of_grasses","leaf_spot"
