"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Zygospores globoid or slightly ovoid, 20-32 µm","Kuzuhaea moniliformis_30560_165","Zygospores","20-32",26,NA,NA
"Azygospores frequent, resembling zygospores, but smaller, 16-20 µm","Kuzuhaea moniliformis_30560_165","Azygospores","16-20",18,NA,NA
"Zygospores formed aerially between zygophores, sporophores, or zygophores and sporophores, at all levels above the agar surface either singly or in small groups; globose to subglobose, (49-)57-74(-80), av. 66 µm","Benjaminiella multispora_33004_176","Zygospores",". 66",66,NA,NA
"Zygospores abundant, formed on aerial hyphae near surface of substrate; globose to subglobose, (45-)65-80(-90), av. 72 µm","Mycotypha indica_40132_178","Zygospores",". 72",72,NA,NA
"Zygospores formed at or below the surface of the medium, 60-100 µm","Poitrasia circinans_5132_412","Zygospores","60-100",80,NA,NA
"zygospores  formed at or below the surface of the medium, dark reddish-brown to almost black, with large central oil droplet, oval to globose, 40-90 µm","Poitrasia circinans_5132_429","zygospores","40-90",65,NA,NA
"Zygospores biconical, 36-43 x 7-10 µm,","Simuliomyces spica_128695_19011","Zygospores","36-43 x 7-10",39.5,8.5,NA
"Zygospores broadly ellipsoidal, thick-walled, episporium black, smooth, 26.1-28.4 x 18.7-20.4 µm.","Neozygites fresenii_142867_67480","Zygospores","26.1-28.4 x 18.7-20.4",27.25,19.55,NA
"Zygospores globoid or slightly ovoid, 19-30 µm","Syncephalis hypogena_30717_23155","Zygospores","19-30",24.5,NA,NA
"Zygospores homothallic, reddish brown to dark brown, mostly inside an exudate droplet, up to 80 µm","Mucor faisalabadensis_31162_274","Zygospores","80",80,NA,NA
"zygospores 41-83.5(94) µm","Mycocladus corymbiferus_162922_423","zygospores","41-83.5(94)",83.5,NA,NA
"Zygospores short-ellipsoidal between suspensors, 60-100-45-80 µm,","Mycocladus corymbiferus_162922_11404","Zygospores","60-100-45-80",72.5,NA,NA
"Zygospores (fide Ellis & Hesseltine, 1966, p. 68) heterothallic, 41-83,5 (-94) µm","Mycocladus corymbiferus_162922_13935","Zygospores","41-83,5 (-94)",83.5,NA,NA
"Zygospores (compiled from Ellis & Hesseltine, 1966 and Nottebrock, Scholer & Wall, 1974) borne in the aerial mycelium, globose to slightly compressed, 41-94 µm","Mycocladus corymbiferus_162922_14820","Zygospores","41-94",67.5,NA,NA
"zygospores 50-80 µm","Mycocladus ramosus_167355_422","zygospores","50-80",65,NA,NA
"Zygospores (fide Ellis & Hesseltine 1966, p. 62) heterothallic, 50-80 (rarely up to 85,5 x 102,5) µm","Mycocladus ramosus_167355_13936","Zygospores","85,5 x 102,5)",85.5,102.5,NA
"zygospores never formed; azygospores abundant, produced terminally and subterminally on simple or branched azygophores 0.1-1.5 cm in height; azygospores globose or subglobose, orangebrown to brownish-black, 30-120 µm","Circinomucor bainieri_184285_430","zygospores","30-120",75,NA,NA
"azygospores abundant, produced terminally and subterminally on simple or branched azygophores 0.1-1.5 cm in height; azygospores globose or subglobose, orangebrown to brownish-black, 30-120 µm","Circinomucor bainieri_184285_430","azygospores","30-120",75,NA,NA
"azygospores globose or subglobose, orangebrown to brownish-black, 30-120 µm","Circinomucor bainieri_184285_430","azygospores","30-120",75,NA,NA
"azygospores globose or sub-globose, up to 110 µm","Circinomucor bainieri_184285_14979","azygospores","110",110,NA,NA
"zygospores [CBS 195.68 (+) x CBS 108.16 (-), on whey agar at 25°C] globose to slightly compressed, up to 100 µm","Circinomucor circinelloides_203237_14981","zygospores","100",100,NA,NA
"zygospores [CBS 116.08 (-) x CBS 198.28 (+), on PDA at 25°C] globose, up to 80 µm","Circinomucor griseocyanus_193504_14983","zygospores","80",80,NA,NA
"zygospores [CBS 205.68 (=) x CBS 232.29 (-) on PDA at 25°C] globose or nearly so, up to 70 µm","Circinomucor janssenii_166043_14984","zygospores","70",70,NA,NA
"zygospores [CBS 213.75 (+) x CBS 226.32 (-) on beerwort agar at 24° ] formed in the aerial mycelium in a ladder-1ike fashion, globose or subglobose, up to 85 µm","Circinomucor plumbeus_165015_14987","zygospores","85",85,NA,NA
"zygospores [CBS 115.08 (+) x CBS 238.35 (-) on cherry agar at 10°C] in the lower portion of the colony, on hyphae bearing both zygospores and sporangia, globose or nearly so, up to 90 µm","Circinomucor sphaerosporus_35219_14989","zygospores","90",90,NA,NA
"zygospores and sporangia, globose or nearly so, up to 90 µm","Circinomucor sphaerosporus_35219_14989","zygospores","90",90,NA,NA
"zygospores (CBS 763.74 (+) x CBS 185.77 (-) on beerwort agar at 25°C) in the aerial mycelium, most abundant in the lower part of the colony, black, globose to slightly compressed, up to 70 x 60 µm,","Zygorhynchus amphibiorum_180616_15783","zygospores","70 x 60",70,60,NA
"Zygospores borne between opposed suspensors, globose to slightly compressed, up to 70 x 60 µm,","Zygorhynchus amphibiorum_180616_18591","Zygospores","70 x 60",70,60,NA
"zygospores homothallic, formed at a short distance above the substrate on zygophores which are shorter than the sporangiophores, black, globose or nearly so, roughened by broad projections which are often brushlike in outline, up to 80 x 77 µm","Zygorhynchus bacilliformis_177005_15766","zygospores","80 x 77",80,77,NA
"zygospores borne near the substrate upon zygophores, nearly spherical, brown to brownish black, containing several large oil droplets, 35-72 µm,","Zygorhynchus bacilliformis_177005_47548","zygospores","35-72",53.5,NA,NA
"zygospores (CBS 226.29 (+) x CBS 422.71 (-), on beerwort agar, at 25°C) in the aerial mycelium, most abundant in the underportion of the colony, black, globose to slightly compressed, up to 100 µm","Zygorhynchus indicus_170207_15769","zygospores","100",100,NA,NA
"azygospores may occur; suspensors unequal, one very short, the other swollen but constricted adjacent to the zygospore, up to 35 µm","Zygorhynchus indicus_170207_15769","azygospores","35",35,NA,NA
"Zygospores formed in great numbers between opposed progametangia arising from aerial hyphae near the surface of the substrate; zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Benjaminiella poitrasii_5850_213","Zygospores","5-10",7.5,NA,NA
"zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Benjaminiella poitrasii_5850_213","zygospores","5-10",7.5,NA,NA
"zygospores globose, slightly compressed between the suspensors, brownish, tuberculate, 2,53-55 µm","Cunninghamella echinulata var. elegans_159668_280","zygospores","2,53-55",28.765,NA,NA
"zygospores et d'hyphes épais (jusqu'à 17 µm","Endogone sphagnophila_133573_13667","zygospores","'à 17",NA,NA,NA
"Zygospores entassées dans la glèbe de manière aléatoire, sphériques à ellipsoïdes ou déformées par leur proximité (30.8-56.6 x 35.0-73.4 µm)","Endogone sphagnophila_133573_13667","Zygospores","é (30.8-56.6 x 35.0-73.4",30.8,54.2,NA
"Zygospores round or oval, 160-220 µm","Rhizopus stolonifer_58300_13944","Zygospores","160-220",190,NA,NA
"Zygospores 103-180 (-220) µm,","Rhizopus stolonifer_58300_14825","Zygospores","103-180 (-220)",180,NA,NA
