genus,order
Acarospora,Acarosporales
Agonimia,Verrucariales
Aleuria,Pezizales
Ascobolus,Pezizales
Aspergillus,Eurotiales
Bacidia,Lecanorales
Botryotinia,Helotiales
Caloscypha,Pezizales
Canoparmelia,Lecanorales
Capronia,Chaetothyriales
Chaetomium,Sordariales
Cheilymenia,Pezizales
Chlorociboria,Helotiales
Cladonia,Lecanorales
Coccidioides,Onygenales
Coccomyces,Rhytismatales
Cochliobolus,Pleosporales
Debaryomyces,Saccharomycetales
Dermatocarpon,Verrucariales
Diaporthe,Diaporthales
Diploschistes,Ostropales
Exophiala,Chaetothyriales
Fusarium,Hypocreales
Geoglossum,Geoglossales
Gnomonia,Diaporthales
Gyromitra,Pezizales
Helvella,Pezizales
Histoplasma,Onygenales
Hydropisphaera,Hypocreales
Hypocenomyce,Umbilicariales
Hypocrea,Hypocreales
Lachnum,Helotiales
Lecanora,Lecanorales
Lulworthia,Lulworthiales
Microascus,Microascales
Monascus,Eurotiales
Monilinia,Helotiales
Morchella,Pezizales
Neurospora,Sordariales
Orbilia,Orbiliales
Peltigera,Peltigerales
Pertusaria,Pertusariales
Peziza,Pezizales
Phacidiopycnis,Leotiales
Physcia,Teloschistales
Pleospora,Pleosporales
Podospora,Sordariales
Pyrenophora,Pleosporales
Pyrenula,Pyrenulales
Pyrgillus,Pyrenulales
Ramichloridium,Mycosphaerellales
Scutellinia,Pezizales
Sordaria,Sordariales
Spiromastix,Onygenales
Staurothele,Verrucariales
Taphrina,Taphrinales
Trichoglossum,Geoglossales
Umbilicaria,Umbilicariales
Westerdykella,Pleosporales
Xylaria,Xylariales
Stictis, Ostropales
Dothidea, Dothideales
Echinoplaca, Ostropales
Endocarpon, Verrucariales
Anisomeridium, Monoblastiales
Trypethelium, Trypetheliales
Trapelia, Trapeliales
Mycoblastus, Lecanorales
Candida, Saccharomycetales
Roccella, Arthoniales
Agaricostilbum,Agaricostilbales
Amanita,Agaricales
Ampulloclitocybe,Agaricales
Armillaria,Agaricales
Boletellus,Boletales
Bondarzewia,Russulales
Calocera,Dacrymycetales
Clavaria,Agaricales
Climacodon,Polyporales
Colacogloea,Heterogastridiales
Collybia,Agaricales
Coltricia,Hymenochaetales
Coprinopsis,Agaricales
Coprinus,Agaricales
Cortinarius,Agaricales
Cotylidia,Not assigned
Cryptococcus,Tremellales
Dacryopinax,Dacrymycetales
Echinodontium,Russulales
Entyloma,Entylomatales
Flammulina,Agaricales
Fomitiporia,Hymenochaetales
Fomitopsis,Polyporales
Gautieria,Gomphales
Grifola,Polyporales
Henningsomyces,Agaricales
Hydnum,Cantharellales
Hygrocybe,Agaricales
Hyphoderma,Polyporales
Lactarius,Russulales
Lycoperdon,Agaricales
Marasmius,Agaricales
Phanerochaete,Polyporales
Phlebia,Polyporales
Platygloea,Platygloeales
Pleurotus,Agaricales
Pluteus,Agaricales
Puccinia,Pucciniales
Ramaria,Gomphales
Rhodotorula,Sporidiobolales
Stereum,Russulales
Suillus,Boletales
Tilletiaria,Georgefischeriales
Entomophthora,Entomophthorales
Geosiphon,Archaeosporales
Glomus,Glomerales
Paraglomus,Paraglomerales
Scutellospora,Diversisporales
Coemansia,Kickxellales
Smittium,Harpellales
Umbelopsis,Umbelopsidales
Basidiobolus,Basidiobolales
Conidiobolus,Entomophthorales
Dimargaris,Dimargaritales
Endogone,Endogonales
Mortierella,Mortierellales
Orphella,Harpellales
Phycomyces,Mucorales
Rhizopus,Mucorales
Rhopalomyces,Zoopagales
