qseqid	sseqid	evalue	identity	coverage	kingdom	phylum	class	order	family	genus	species
GL50862	Archaeorhizomyces_borealis|DQ068979|SH204031.07FU|reps|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_borealis	1.42E-122	0.991967871	0.83557047	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces_borealis
ITS_OTUa_17710	Phaeococcomyces_eucalypti|KC005769|SH124971.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;s__Phaeococcomyces_eucalypti	1.00E-25	0.984615385	0.424836601	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces_eucalypti
ITS_OTUa_14614	Phaeococcomyces_rothmanniae|KJ869136|SH022485.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;s__Phaeococcomyces_rothmanniae	2.89E-77	0.987730061	1	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces_rothmanniae
GL47546	Chaenotheca_nitidula|AF492388|SH211337.07FU|reps|k__Fungi;p__Ascomycota;c__Coniocybomycetes;o__Coniocybales;f__Coniocybaceae;g__Chaenotheca;s__Chaenotheca_nitidula	3.18E-55	0.991735537	0.378125	Fungi	Ascomycota	Coniocybomycetes	Coniocybales	Coniocybaceae	Chaenotheca	Chaenotheca_nitidula
GL40058	Leptodiscella_africana|FR751089|SH030933.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales;f__Acrospermales_fam_Incertae_sedis;g__Leptodiscella;s__Leptodiscella_africana	3.80E-143	0.989583333	0.859701493	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Leptodiscella	Leptodiscella_africana
ITS_OTUa_23867	Leptodiscella_africana|FR751089|SH030933.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales;f__Acrospermales_fam_Incertae_sedis;g__Leptodiscella;s__Leptodiscella_africana	2.77E-84	0.994318182	1	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Leptodiscella	Leptodiscella_africana
ITS_OTUa_13941	Aplosporella_africana|EU101315|SH193867.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_africana	1.01E-96	1	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella_africana
GL38530	Aplosporella_javeedii|KP208840|SH193866.07FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_javeedii	1.98E-140	0.98615917	0.857566766	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella_javeedii
ITS_OTUa_19751	Aplosporella_papillata|EU101328|SH193869.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_papillata	9.82E-91	0.97029703	1.01	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella_papillata
ITS_OTUa_9882	Aplosporella_papillata|EU101328|SH193869.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_papillata	2.05E-99	0.995049505	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella_papillata
ITS_OTUa_75337	Aplosporella_prunicola|EF564375|SH369780.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Aplosporellaceae;g__Aplosporella;s__Aplosporella_prunicola	2.23E-92	0.984536082	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella_prunicola
GL40793	Barriopsis_iraniana|FJ919663|SH211952.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Barriopsis;s__Barriopsis_iraniana	9.48E-151	0.996632997	0.891891892	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Barriopsis	Barriopsis_iraniana
GL40983	Botryosphaeria_ramosa|EU144055|SH237407.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_ramosa	9.48E-151	0.996632997	0.891891892	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria_ramosa
GL39807	Diplodia_corticola|AY259100|SH211943.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia_corticola	8.94E-145	0.996503497	0.853731343	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia_corticola
GL39661	Diplodia_subglobosa|GQ923856|SH419951.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia_subglobosa	9.54E-151	0.993311037	0.892537313	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia_subglobosa
ITS_OTUa_16730	Dothiorella_moneti|EF591920|SH122666.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__Dothiorella_moneti	8.62E-71	0.986754967	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella_moneti
GL43117	Dothiorella_rosulata|EU101290|SH419896.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__Dothiorella_rosulata	3.99E-149	0.996598639	0.890909091	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella_rosulata
GL42798	Dothiorella_santali|EF591924|SH211949.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__Dothiorella_santali	5.55E-141	0.979381443	0.881818182	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella_santali
GL41758	Endomelanconiopsis_endophytica|EU683656|SH195462.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Endomelanconiopsis;s__Endomelanconiopsis_endophytica	2.08E-146	0.986486486	0.891566265	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Endomelanconiopsis	Endomelanconiopsis_endophytica
GL41773	Endomelanconiopsis_endophytica|EU683656|SH195462.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Endomelanconiopsis;s__Endomelanconiopsis_endophytica	4.02E-149	0.993243243	0.891566265	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Endomelanconiopsis	Endomelanconiopsis_endophytica
GL34650	Endomelanconiopsis_microspora|EU683655|SH195467.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Endomelanconiopsis;s__Endomelanconiopsis_microspora	3.81E-143	0.976666667	0.892857143	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Endomelanconiopsis	Endomelanconiopsis_microspora
GL39014	Endomelanconiopsis_microspora|EU683655|SH195467.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Endomelanconiopsis;s__Endomelanconiopsis_microspora	2.58E-145	0.983388704	0.893175074	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Endomelanconiopsis	Endomelanconiopsis_microspora
GL39585	Endomelanconiopsis_microspora|EU683655|SH195467.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Endomelanconiopsis;s__Endomelanconiopsis_microspora	4.64E-142	0.973333333	0.892857143	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Endomelanconiopsis	Endomelanconiopsis_microspora
GL34676	Lasiodiplodia_citricola|GU945354|SH419881.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_citricola	4.96E-148	0.986622074	0.889880952	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_citricola
GL39632	Lasiodiplodia_gonubiensis|DQ458892|SH211939.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_gonubiensis	4.63E-142	0.98951049	0.853731343	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis
ITS_OTUa_36060	Lasiodiplodia_gonubiensis|DQ458892|SH211939.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_gonubiensis	9.53E-51	0.974358974	0.847826087	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis
GL33993	Lasiodiplodia_jatrophicola|KF234544|SH419901.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_jatrophicola	3.81E-143	0.993031359	0.854166667	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_jatrophicola
ITS_OTUa_37	Lasiodiplodia_jatrophicola|KF234544|SH419901.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_jatrophicola	2.06E-65	1	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_jatrophicola
GL38927	Lasiodiplodia_rubropurpurea|DQ103553|SH211960.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_rubropurpurea	9.54E-151	0.993311037	0.892537313	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_rubropurpurea
GL39605	Lasiodiplodia_venezuelensis|DQ103547|SH122650.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_venezuelensis	3.34E-150	0.993333333	0.892857143	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_venezuelensis
GL40032	Lasiodiplodia_venezuelensis|DQ103547|SH122650.07FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_venezuelensis	9.51E-151	0.993311037	0.895209581	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_venezuelensis
GL38244	Macrophoma_sophoricola|EU520120|SH477713.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophoma;s__Macrophoma_sophoricola	2.09E-70	0.974683544	0.475903614	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophoma	Macrophoma_sophoricola
ITS_OTUa_6842	Macrophomina_phaseolina|GU046844|SH027087.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina	1.07E-89	1	1	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina_phaseolina
